shot_id,sample_seed,shot,syndrome_hash,logical_hash,lane0_seed,lane1_seed,float_converged,float_iterations,float_relay_legs,float_correction_hash,float_syndrome_valid,float_logical_match,float_success,float_outcome_class,fixed_converged,fixed_iterations,fixed_relay_legs,fixed_correction_hash,fixed_syndrome_valid,fixed_logical_match,fixed_success,fixed_outcome_class,standalone_lane0_converged,standalone_lane0_iterations,standalone_lane0_relay_legs,standalone_lane0_correction_hash,standalone_lane0_syndrome_valid,standalone_lane0_logical_match,standalone_lane0_success,standalone_lane0_outcome_class,standalone_lane1_converged,standalone_lane1_iterations,standalone_lane1_relay_legs,standalone_lane1_correction_hash,standalone_lane1_syndrome_valid,standalone_lane1_logical_match,standalone_lane1_success,standalone_lane1_outcome_class,correction_hamming_distance,same_final_correction,same_convergence_class,same_logical_class,classification,numerical_origin_explained,float_fixed_schedule_hash,first_float_oracle_max_delta,lane0_standalone_agreement,lane0_completion_cycles,lane1_standalone_agreement,lane1_completion_cycles,selected_winner,independent_winner,arbiter_agreement,ensemble_failure,ensemble_success,ensemble_syndrome_valid,both_failed_reported_correctly,any_valid_reported_correctly,ensemble_modeled_cycles,rescue
20260809_010,20260809,10,74cd7c06b824e534bd8c45e1e264c9ce52a7ba58cec19468ec587f0fc3e8ea40,d8be982bac46c32cebc5f42e7df5a2f5d0baf5c7821794844d7245e09a297820,17802734268392651266,5614213855103928757,True,36,1,bf8f6aeaed9678ca99e64241f26fabca31b976e13e43d3fa9aac4372b8b6d9e4,True,True,True,VALID_CORRECT,True,53,1,c2cd2048d81e94e6f55b170265dd0c90b5c88f78e7876d8da86706bbcc53057d,True,True,True,VALID_CORRECT,True,53,1,c2cd2048d81e94e6f55b170265dd0c90b5c88f78e7876d8da86706bbcc53057d,True,True,True,VALID_CORRECT,True,53,1,c2cd2048d81e94e6f55b170265dd0c90b5c88f78e7876d8da86706bbcc53057d,True,True,True,VALID_CORRECT,22,False,True,True,QUANTIZATION_ONLY,True,d878babda9d3807f10d3a1241e8f616eda70151206060db775230e28c3c2546f,0.0,True,201843485,True,201843485,0,0,True,False,True,True,True,True,201843485,False
20260809_011,20260809,11,86b1e72bdd7a3bc17e9902fa39da1ee5f53148b72ccbaa649e9a8cd6751b4f7b,27a8ca63fa0ace2fd1e86616aad228e4d2800b73c2904b45263494aa240fba33,1621262887729756765,16128902808687320708,True,137,2,4224c327f6e473ac7ce48d02b475b973f1c70d38d4c87d104a2e6992006be0da,True,True,True,VALID_CORRECT,True,104,2,9363895ad4037f4a8a810c0f28dca9c65a107b4c868e512c4304aece79dd3ed1,True,True,True,VALID_CORRECT,True,104,2,9363895ad4037f4a8a810c0f28dca9c65a107b4c868e512c4304aece79dd3ed1,True,True,True,VALID_CORRECT,True,221,4,e9cc2f6b5e2d80f79962960d574e9742fb12d63e114e9dc525c160127aa22a2d,True,True,True,VALID_CORRECT,32,False,True,True,QUANTIZATION_ONLY,True,bc4816c8ab2a5b17762f6b03b502bd529fe03b5264374dbeb969f7ee2e6923ce,0.0,True,396137709,True,841558790,0,0,True,False,True,True,True,True,396137709,False
20260809_012,20260809,12,6bf3154165f98c3d4ecbe2b8864b80cecc0731d4daf243c7f0319201c1b169e2,dcc164ca1a8d04adc141925cddaa7a657a584a5cdef898a653578cef98b42d9a,15283566630660765739,12547269875732112094,True,490,8,0b9c3eea7ac0bcb872988167f30f646818cd87b67e8b5554fb54182cc53f1fd4,True,True,True,VALID_CORRECT,True,60,1,013f8a2c63f57a34ebe6e8ef6320a6f2646c2e9174bdf05b3405ca2790f1f32a,True,True,True,VALID_CORRECT,True,60,1,013f8a2c63f57a34ebe6e8ef6320a6f2646c2e9174bdf05b3405ca2790f1f32a,True,True,True,VALID_CORRECT,True,60,1,013f8a2c63f57a34ebe6e8ef6320a6f2646c2e9174bdf05b3405ca2790f1f32a,True,True,True,VALID_CORRECT,58,False,True,True,QUANTIZATION_ONLY,True,ed8256d86a24caaf316b94ef6c88370ee84c722aee95ac642c33ec173fbd5d32,0.0,True,228365008,True,228365008,0,0,True,False,True,True,True,True,228365008,False
20260809_013,20260809,13,aecba73662b2c8d627b9cd6498bfb4791a74e045fa35781b90a429953a77cfe9,cc3190ea3eb6962cf96fed801246a62c24df6a2d3d6ba156d005207e4b0b8c6f,14705238778227004122,15001961393019595652,True,167,3,039257f24817df8c144cc110feecc3045aa41b7e5b3e4b299ed2848b75a05bd1,True,True,True,VALID_CORRECT,True,181,3,2d85784b803864cfcf0519ad55f4aee358ef6c87f4ecd39984be6f542ecc4aad,True,True,True,VALID_CORRECT,True,181,3,2d85784b803864cfcf0519ad55f4aee358ef6c87f4ecd39984be6f542ecc4aad,True,True,True,VALID_CORRECT,True,660,11,11a2f798bfd4f93e712a6353d746cf776e13b1b63d587cd04b8f8e2c88ca7ffe,True,True,True,VALID_CORRECT,58,False,True,True,QUANTIZATION_ONLY,True,69297b4c04c6b98071a06c06bc0f9e4e6445b7563b7f623c0c16e1deb714b2c9,0.0,True,688941111,True,2512301672,0,0,True,False,True,True,True,True,688941111,False
20260809_014,20260809,14,af0b26c1726dad20783c55aaa1bd13c97656fa364102be4df433c5f1da7353a7,50d94398974ef01eea644f56c355d4f593a8e87e61f0b2b313844e06a690ec32,15725056645400374487,6712535225929805219,True,74,1,fa0df1698189df812d4c2158d3f3de82cd632e52f4b52204143736edd3fb21ee,True,True,True,VALID_CORRECT,True,39,1,a258b12c779a22156d5ce319b3d259addc1fcf9e8eebf850158ecebd175233fc,True,True,True,VALID_CORRECT,True,39,1,a258b12c779a22156d5ce319b3d259addc1fcf9e8eebf850158ecebd175233fc,True,True,True,VALID_CORRECT,True,39,1,a258b12c779a22156d5ce319b3d259addc1fcf9e8eebf850158ecebd175233fc,True,True,True,VALID_CORRECT,22,False,True,True,QUANTIZATION_ONLY,True,a574520c5687027ad5fcd845a3c4f66153f4eedec09d6901cf69990c73c778fc,0.0,True,148800439,True,148800439,0,0,True,False,True,True,True,True,148800439,False
20260809_015,20260809,15,31d4658d6b8c26590a59d824d72aff23020648a8c8e726f3ea5a457ebb2dbb60,3ed9f6cd4fc370a9e555731712428f24a693cd85fe128c7f3ca78f76f3064c58,8289395461930775230,3610373903898914109,True,122,2,f39ce83be90e17c8980ebb05b34bdc981e40aac5b7f00fb2c6bf2cc55eb654a6,True,True,True,VALID_CORRECT,True,165,3,1d1d5a786829d01cceeed4ee3d4f2aeef3eb480721c8a782d7818def7873c9f1,True,True,True,VALID_CORRECT,True,165,3,1d1d5a786829d01cceeed4ee3d4f2aeef3eb480721c8a782d7818def7873c9f1,True,True,True,VALID_CORRECT,True,200,3,f61c0b2a0a9dbb22ce7f455fb71a35a35d15071d0d981217d4dabf4b52f54626,True,True,True,VALID_CORRECT,52,False,True,True,QUANTIZATION_ONLY,True,a174b92f8be5aff8ced0c494b893a90789314425e6c1d51241ea5ed65d225d25,0.0,True,628320181,True,760928016,0,0,True,False,True,True,True,True,628320181,False
20260809_016,20260809,16,71b4ac9d521af4fd064a8244179223b0599783936c681f79ab6d37516eab2b5d,bcb06181dcb53f6d4173272c3a3841b2cb6bfe37e760adef26924917c0357197,3545954161664281249,14965624683064202006,True,341,6,0cd3bae18d813e1d43aa159b4fea0ac7a9de614c605ecc89ddcda31f0c42f1c0,True,True,True,VALID_CORRECT,True,226,4,98a3a7fa32a793b6d9954b19479e5498a03a5d295c067f9b041fa4c2c8cc4496,True,True,True,VALID_CORRECT,True,226,4,98a3a7fa32a793b6d9954b19479e5498a03a5d295c067f9b041fa4c2c8cc4496,True,True,True,VALID_CORRECT,True,160,3,0ee60fbe4f9fda13770b36a022722fce6cd6d2b189e821cfb59b74aca37e0f7f,True,True,True,VALID_CORRECT,70,False,True,True,QUANTIZATION_ONLY,True,22d15b235d496a84bcc2d42013a5425a1d440a4dbf63852e3b1f812d96212d01,0.0,True,860502694,True,609376020,1,1,True,False,True,True,True,True,609376020,False
20260809_017,20260809,17,066bc5a1d13d40260c14293e012163bbe2feb4dd935bc65bd0c2c4dafd245043,1d7edc3d9996b3b6711e175b36bbc970d5592d794894a3cc12c2e4a97e7f77de,1848792289959952852,8369804307740391728,True,117,2,4e782c8be24ae1a2f5a7fbe479d729931f0661febb11f628574f8f644a742320,True,True,True,VALID_CORRECT,True,58,1,10eb3d3c193d896299ea55db1f6dfd45e3e146bdce29fa9691e9dce52c241bba,True,True,True,VALID_CORRECT,True,58,1,10eb3d3c193d896299ea55db1f6dfd45e3e146bdce29fa9691e9dce52c241bba,True,True,True,VALID_CORRECT,True,58,1,10eb3d3c193d896299ea55db1f6dfd45e3e146bdce29fa9691e9dce52c241bba,True,True,True,VALID_CORRECT,40,False,True,True,QUANTIZATION_ONLY,True,ee7ccf3384a29bcda3394f001df2f56c85ce3f71735664c60857a2f369208428,0.0,True,220787430,True,220787430,0,0,True,False,True,True,True,True,220787430,False
20260809_018,20260809,18,9cc09e0332d748cb9d47f78665b951e384df14e15728e7bda46e2fd0215bdf3f,1c92f033fb8eabff5381b8eb26e5106d3b15acb67b35df470434501863d5c4b0,15462074353113131334,6948219666594607190,True,187,3,f493d774c59595a48b805f200db3bc8183834e78f89ccad626017e56d9df856a,True,True,True,VALID_CORRECT,False,1940,32,fce946463f9f1fa37fbd58c305995ee34679996efb7c581f93ee572e21afa928,False,True,False,NONCONVERGED,False,1940,32,fce946463f9f1fa37fbd58c305995ee34679996efb7c581f93ee572e21afa928,False,True,False,NONCONVERGED,True,594,10,2ae72d0ebcbf7cb1d2db2c7979f72a26f81cbb54417830380e4618ebd2e9ac75,True,True,True,VALID_CORRECT,77,False,False,False,CONVERGENCE_CLASS_CHANGE,True,e99635efaac66dbf17d38033cedade1e0d9ba1aa7c1060f8d8695e084d51c306,0.0,True,7384342706,True,2261174639,1,1,True,False,True,True,True,True,2261174639,True
20260809_019,20260809,19,42c349f05c56b8374e7a2e500010def90a08851cb4fa17e352aa4974e4f6d79c,cce19ce4564144ae6e2ea8f8549c79543b388607b6ef30ba9d8be01bdc7985a4,2400398014029770069,9790198515552160532,True,55,1,9eb0735b4ba6f958e82ba7fd86676796582bc5c1bb1b130f6b8de8f8cba8fabc,True,True,True,VALID_CORRECT,True,41,1,6e61d2bd82ce72db85a1db19e1d2936c6a3ee83c852ecd88db72072fabe3ced9,True,True,True,VALID_CORRECT,True,41,1,6e61d2bd82ce72db85a1db19e1d2936c6a3ee83c852ecd88db72072fabe3ced9,True,True,True,VALID_CORRECT,True,41,1,6e61d2bd82ce72db85a1db19e1d2936c6a3ee83c852ecd88db72072fabe3ced9,True,True,True,VALID_CORRECT,27,False,True,True,QUANTIZATION_ONLY,True,b063af1ec2a4f5460c0792278190226965e288371f19773143576fe9ece88fef,0.0,True,156378017,True,156378017,0,0,True,False,True,True,True,True,156378017,False
20260809_020,20260809,20,d1de07ec1678d4f882cf159b04401e2f091dd81c7fdb99bbb8cf5c7a2414df39,783c355ad1b2d293d966dc05101ca060fd4d26edb56ab7c7f49587d099e42f47,1875523349383067887,650155048283116494,True,117,2,5b8aca3e743767bffe197e4a613fd0a54f4bbdcde481af8140d9d4209ce88ceb,True,True,True,VALID_CORRECT,True,74,1,6d8b2f01038cb4a22ba11c09c9ffda52fcbe5acaf18fcbb219f2ae2e86472cea,True,True,True,VALID_CORRECT,True,74,1,6d8b2f01038cb4a22ba11c09c9ffda52fcbe5acaf18fcbb219f2ae2e86472cea,True,True,True,VALID_CORRECT,True,74,1,6d8b2f01038cb4a22ba11c09c9ffda52fcbe5acaf18fcbb219f2ae2e86472cea,True,True,True,VALID_CORRECT,17,False,True,True,QUANTIZATION_ONLY,True,b60d720473c6e1ee0557d66161ff0d0811b2924020f31390fa781b1427dc2066,0.0,True,281408054,True,281408054,0,0,True,False,True,True,True,True,281408054,False
20260809_021,20260809,21,5a83590b88819ed029e089befd7caae3e032a3d49cc41c29c95cc7913dcb2db4,8f375801003fc88b0c8a3d260ade28b87a8af1c86e28be139ccf6353f0b1c7dd,551847097978454530,5569293638566506660,True,43,1,cc81dde8d69176db901d9bc81140b81add41f4d6a8aa232dbea8de497f486895,True,True,True,VALID_CORRECT,True,26,1,36314f1dc2c2cbfd838a552555ade99d3e3f4e0a458ff143063054b10cb68921,True,True,True,VALID_CORRECT,True,26,1,36314f1dc2c2cbfd838a552555ade99d3e3f4e0a458ff143063054b10cb68921,True,True,True,VALID_CORRECT,True,26,1,36314f1dc2c2cbfd838a552555ade99d3e3f4e0a458ff143063054b10cb68921,True,True,True,VALID_CORRECT,9,False,True,True,QUANTIZATION_ONLY,True,b52012a3cd9dc03634856452c772be0ef2d88d00afc7dff5e580fb50952cff6f,0.0,True,99546182,True,99546182,0,0,True,False,True,True,True,True,99546182,False
20260809_022,20260809,22,8696cffaed89cfc29763fc53038712ecb6d0a3d66bccc560c2f2508d0f28c5c7,6a52cc13d78ca3915cacc662b84fcf1c99cec0fcafb9ffdf42c357da190f63ee,8845461622687559147,11311453404091587701,True,108,2,79342012cfa4a65d26331c9f931dfb943572242da8002126be3028d85f83480f,True,True,True,VALID_CORRECT,True,40,1,8a572a8261a4cf2e9b37291bfc5d3e70683a678c4bc0c629dbd3faa1026ad3e8,True,True,True,VALID_CORRECT,True,40,1,8a572a8261a4cf2e9b37291bfc5d3e70683a678c4bc0c629dbd3faa1026ad3e8,True,True,True,VALID_CORRECT,True,40,1,8a572a8261a4cf2e9b37291bfc5d3e70683a678c4bc0c629dbd3faa1026ad3e8,True,True,True,VALID_CORRECT,50,False,True,True,QUANTIZATION_ONLY,True,5a9433edd324fa34799ed797158afaa66ce08ba0da11a6d0829f4ab8b97eccdd,0.0,True,152589228,True,152589228,0,0,True,False,True,True,True,True,152589228,False
20260809_023,20260809,23,7007538714962ac100d6c268c0b3f577b010b2720bd166cf745058211ea75fd9,72bf608449e1cead5ec7006f556928a60242eb68503aa907f9917fd805e8f95c,6062447919674616279,8898354168403465168,True,167,3,5ac3553b975dfc0ecf93e0684e470b56ddb6d202f7bd133c1e63015979532fe6,True,True,True,VALID_CORRECT,True,101,2,8b919ece9fc55d7bb99d8d7b7b6c0f585fc4e180f8e6607d5b0dfa055e9e7e4d,True,True,True,VALID_CORRECT,True,101,2,8b919ece9fc55d7bb99d8d7b7b6c0f585fc4e180f8e6607d5b0dfa055e9e7e4d,True,True,True,VALID_CORRECT,True,320,5,3b8f486bc67fc4775c60cf804767a2086a640d9ab607813ba939ab3a44a9a720,True,True,True,VALID_CORRECT,32,False,True,True,QUANTIZATION_ONLY,True,b8d3c69de6c30e2e149bfa989a179a35500612598a458444b4add3b9be756445,0.0,True,384771834,True,1217714980,0,0,True,False,True,True,True,True,384771834,False
20260809_024,20260809,24,27dccc1092ae6e81466b1d61c7d3e72d7fbab245817a719e2b473739af533d36,8ed7c07ccb53e4680f5e0df58cbe6f96d32ff4a40a7f623ba098b4cb335786af,7757827362317347828,2855576777253091380,True,63,1,d6db63d6238dae898acf06da8e2831994a01a0d51158a7fca3cbe7e3d4f208ff,True,True,True,VALID_CORRECT,True,127,2,c49cb4ec69b732977b1a62126de3c7fb892531fc29c9932b7364380c66982afa,True,True,True,VALID_CORRECT,True,127,2,c49cb4ec69b732977b1a62126de3c7fb892531fc29c9932b7364380c66982afa,True,True,True,VALID_CORRECT,True,128,2,bea03d26e5073b5db06a012fc916fa097552f081fe1521993fc909d837dfc4b6,True,True,True,VALID_CORRECT,23,False,True,True,QUANTIZATION_ONLY,True,6cb2547327843725fdcb253ad37909bbefc1c763e917cae0fb814ea22d086f70,0.0,True,483279848,True,487068758,0,0,True,False,True,True,True,True,483279848,False
20260809_025,20260809,25,57a57873d4f11783ed2db6afbffdd23a03398e08c6b77287fe8755c1fa7e9bc8,e788305f04b3cde38c74906ba57b9f41015196b063bd2379557b17fcd0a28d26,13260707096550732358,6605776833461096963,True,579,10,b2db09a79de7d95d07a86f6fd7db66466ccd042bfe66e26ca450d8bc7953fe51,True,True,True,VALID_CORRECT,True,200,3,e2ae5a44bc933441654963d16e1b1f3c5041a8d063d111b2b35c1e6eb0ac0a09,True,True,True,VALID_CORRECT,True,200,3,e2ae5a44bc933441654963d16e1b1f3c5041a8d063d111b2b35c1e6eb0ac0a09,True,True,True,VALID_CORRECT,True,158,3,08dc20c4571e4b98d48eccb6f49778dcc2278cafd31d60a9c42067bce2acf382,True,True,True,VALID_CORRECT,48,False,True,True,QUANTIZATION_ONLY,True,ec92797d868ce6ffeba068a7a4ace5ef7f28038fb258e1588fd1287e9be0176d,0.0,True,760928116,True,601798441,1,1,True,False,True,True,True,True,601798441,False
