decoder,shot,converged,iterations,legs,successful_legs,selected_weight,candidate_weights,sampled_error_weight,syndrome_weight
relay_s1_positive_only,5,1,3,1,1,17.380493449176367,[17.380493449176367],5,15
relay_s1_positive_only,6,1,31,1,1,59.09367772719965,[59.09367772719965],17,35
relay_s1_positive_only,7,1,3,1,1,34.76098689835273,[34.76098689835273],10,26
relay_s1_positive_only,8,1,3,1,1,20.85659213901164,[20.85659213901164],6,14
relay_s1_positive_only,9,1,3,1,1,31.284888208517458,[31.284888208517458],9,21
relay_s1_positive_only,10,1,4,1,1,34.76098689835273,[34.76098689835273],10,26
relay_s1_positive_only,11,1,2,1,1,17.380493449176367,[17.380493449176367],5,15
relay_s1_positive_only,12,1,3,1,1,24.332690828846914,[24.332690828846914],7,19
relay_s1_positive_only,13,1,2,1,1,13.904394759341093,[13.904394759341093],4,12
relay_s1_positive_only,14,1,4,1,1,27.808789518682186,[27.808789518682186],8,24
relay_s1_positive_only,15,1,2,1,1,13.904394759341093,[13.904394759341093],4,12
relay_s1_positive_only,16,1,6,1,1,38.23708558818801,[38.23708558818801],11,27
relay_s1_positive_only,17,1,2,1,1,24.33269082884691,[24.33269082884691],7,19
relay_s1_positive_only,18,1,5,1,1,38.23708558818801,[38.23708558818801],11,27
relay_s1_positive_only,19,1,3,1,1,27.808789518682186,[27.808789518682186],8,20
relay_s1_positive_only,20,1,10,1,1,52.1414803475291,[52.1414803475291],15,37
relay_s1_positive_only,21,1,5,1,1,27.808789518682186,[27.808789518682186],8,24
relay_s1_positive_only,22,1,3,1,1,34.76098689835273,[34.76098689835273],10,26
relay_s1_positive_only,23,1,3,1,1,31.284888208517458,[31.284888208517458],9,21
relay_s1_positive_only,24,1,2,1,1,13.904394759341093,[13.904394759341093],4,10
relay_s1_positive_only,25,1,3,1,1,31.284888208517458,[31.284888208517458],9,23
relay_s1_positive_only,26,1,3,1,1,27.808789518682186,[27.808789518682186],8,20
relay_s1_positive_only,27,1,2,1,1,27.808789518682186,[27.808789518682186],8,22
relay_s1_positive_only,28,1,7,1,1,34.76098689835273,[34.76098689835273],10,24
