p,sample_seed,seed_index,shot,detector_sample_hash,logical_sample_hash,s0,s1,e0_syndrome_converged,e0_logical_correct,e0_syndrome_valid_logical_error,e0_non_convergence,e0_iterations,e0_legs,e0_weight,e0_natural_cycles,e0_result_cycles,e0_rng_words,e0_gamma_coefficients,e0_initial_rng_state,e0_final_rng_state,e1_syndrome_converged,e1_logical_correct,e1_syndrome_valid_logical_error,e1_non_convergence,e1_iterations,e1_legs,e1_weight,e1_natural_cycles,e1_result_cycles,e1_rng_words,e1_gamma_coefficients,e1_initial_rng_state,e1_final_rng_state,n1_cycles,n2_cycles,winner,same_cycle,global_failure,n2_syndrome_converged,n2_logical_correct,n2_syndrome_valid_logical_error,n2_non_convergence,parallel_rescue,early_wrong_risk,latency_reduction,relative_reduction,loser_quiescent_cycle,cleanup_cycles,avoided_loser_cycles,pair_reuse_cycle,n1_active_work,n2_active_work,e0_budget_reached,e1_budget_reached
0.003,20260809,0,20,d1de07ec1678d4f882cf159b04401e2f091dd81c7fdb99bbb8cf5c7a2414df39,783c355ad1b2d293d966dc05101ca060fd4d26edb56ab7c7f49587d099e42f47,1875523349383067887,650155048283116494,1,1,0,0,74,1,295.8497901266065,281408055,281408054,0,0,1875523349383067887,1875523349383067887,1,1,0,0,74,1,295.8497901266065,281408055,281408054,0,0,650155048283116494,650155048283116494,281408054,281408054,0,1,0,1,1,0,0,0,0,0,0.0,281408055,1,0,281408055,281408055,562816109,0,0
0.003,20260809,0,21,5a83590b88819ed029e089befd7caae3e032a3d49cc41c29c95cc7913dcb2db4,8f375801003fc88b0c8a3d260ade28b87a8af1c86e28be139ccf6353f0b1c7dd,551847097978454530,5569293638566506660,1,1,0,0,26,1,271.03848372018774,99546183,99546182,0,0,551847097978454530,551847097978454530,1,1,0,0,26,1,271.03848372018774,99546183,99546182,0,0,5569293638566506660,5569293638566506660,99546182,99546182,0,1,0,1,1,0,0,0,0,0,0.0,99546183,1,0,99546183,99546183,199092365,0,0
0.003,20260809,0,22,8696cffaed89cfc29763fc53038712ecb6d0a3d66bccc560c2f2508d0f28c5c7,6a52cc13d78ca3915cacc662b84fcf1c99cec0fcafb9ffdf42c357da190f63ee,8845461622687559147,11311453404091587701,1,1,0,0,40,1,320.50100238223763,152589229,152589228,0,0,8845461622687559147,8845461622687559147,1,1,0,0,40,1,320.50100238223763,152589229,152589228,0,0,11311453404091587701,11311453404091587701,152589228,152589228,0,1,0,1,1,0,0,0,0,0,0.0,152589229,1,0,152589229,152589229,305178457,0,0
0.003,20260809,0,23,7007538714962ac100d6c268c0b3f577b010b2720bd166cf745058211ea75fd9,72bf608449e1cead5ec7006f556928a60242eb68503aa907f9917fd805e8f95c,6062447919674616279,8898354168403465168,1,1,0,0,101,2,380.1952834876488,384771835,384771834,96558,67752,6062447919674616279,9690710186858140026,1,1,0,0,320,5,427.21076269659034,1217714981,1217714980,385162,271008,8898354168403465168,15316921109630754414,384771834,384771834,0,0,0,1,1,0,0,0,0,0,0.0,387261008,2489174,830453973,387261008,384771835,772032842,0,0
0.003,20260809,0,24,27dccc1092ae6e81466b1d61c7d3e72d7fbab245817a719e2b473739af533d36,8ed7c07ccb53e4680f5e0df58cbe6f96d32ff4a40a7f623ba098b4cb335786af,7757827362317347828,2855576777253091380,1,1,0,0,127,2,305.3030348228176,483279849,483279848,96058,67752,7757827362317347828,4751993951996633538,1,1,0,0,128,2,310.2763484448406,487068759,487068758,96179,67752,2855576777253091380,755166280078432842,483279848,483279848,0,0,0,1,1,0,0,0,0,0,0.0,485769022,2489174,1299737,485769022,483279849,969048870,0,0
0.003,20260809,0,25,57a57873d4f11783ed2db6afbffdd23a03398e08c6b77287fe8755c1fa7e9bc8,e788305f04b3cde38c74906ba57b9f41015196b063bd2379557b17fcd0a28d26,13260707096550732358,6605776833461096963,1,1,0,0,200,3,319.49809733426,760928117,760928116,192812,135504,13260707096550732358,8747656401113148464,1,1,0,0,158,3,271.090904950353,601798442,601798441,192275,135504,6605776833461096963,15984906386006019585,760928116,601798441,1,0,0,1,1,0,0,0,0,159129675,0.2091257658298961,604287615,2489174,156640502,604287615,760928117,1206086056,0,0
0.003,20260809,0,26,81d33f91b8ccbac5de15e7fa2154a0fc89ee104c12e66c1a76e013625b5111ee,ef97e558613568a505c3dab3db773d7e239a589bd06035bcb1af7ec1e6cf1035,6932175579934644575,16404895323214951940,1,1,0,0,133,2,341.42504542770973,506012856,506012855,96331,67752,6932175579934644575,6445658447530490045,1,1,0,0,103,2,329.9648096606506,392349062,392349061,96207,67752,16404895323214951940,11381249108093554059,506012855,392349061,1,0,0,1,1,0,0,0,0,113663794,0.22462629729041172,394838235,2489174,111174621,394838235,506012856,787187296,0,0
0.003,20260809,0,27,cd5199ea4f73ef83d40affc78c2329fe63e0f6c3f3f38bf9a488bdfe7edc2b85,184aeb6e09e2b1399d7adbf444b5beb6f53cb6c25752342fa6a25acaf55c817a,11884719810708706365,18108705045625852507,1,1,0,0,230,4,305.8961437149436,875658045,875658044,289153,203256,11884719810708706365,9463943179579768499,1,1,0,0,107,2,297.1420944002253,407504577,407504576,96566,67752,18108705045625852507,11543856073293137603,875658044,407504576,1,0,0,1,1,0,0,0,0,468153468,0.5346304658625394,409993750,2489174,465664295,409993750,875658045,817498326,0,0
0.003,20260809,0,28,258ed2a3c2166ca6eb01c09e7e3e823085ca5d6b2dd8ea686050f343ca23f118,5a87de08bf0375c53209b6dddfcc726135cd7c4c2ec4742d742da654ebb4bd5d,3658223131164006700,9110900935259390341,1,1,0,0,290,5,384.4521889704082,1104051355,1104051354,385206,271008,3658223131164006700,16306700188891736346,1,1,0,0,368,6,383.79385239923056,1400643332,1400643331,481724,338760,9110900935259390341,10737889398758322480,1104051354,1104051354,0,0,0,1,1,0,0,0,0,0,0.0,1106540528,2489174,294102804,1106540528,1104051355,2210591882,0,0
0.003,20260809,0,29,6bb1ea3b1f691041612d8f944b189b92b47ab0cd8f6661834508ea60dca47fd3,8f375801003fc88b0c8a3d260ade28b87a8af1c86e28be139ccf6353f0b1c7dd,11201231684163992143,986750089430005861,1,1,0,0,551,9,381.23890408180216,2097189875,2097189874,770129,542016,11201231684163992143,17528790656873332098,1,1,0,0,137,2,367.16529890295794,521168387,521168386,96706,67752,986750089430005861,11610629977269490802,2097189874,521168386,1,0,0,1,1,0,0,0,0,1576021488,0.7514920358613175,523657560,2489174,1573532315,523657560,2097189875,1044825946,0,0
