observation_type,stratum,target,stagnation_threshold,eligible,positives,probability,tp,fp,tn,fn,precision,recall,specificity,false_positive_rate,false_negative_rate,balanced_accuracy
iteration,outcome=multi_leg_success,1,60,13000,6800,0.5230769230769231,3746,1854,4346,3054,0.6689285714285714,0.5508823529411765,0.7009677419354838,0.2990322580645161,0.4491176470588235,0.6259250474383302
iteration,outcome=multi_leg_success,1,80,13000,6800,0.5230769230769231,3252,1635,4565,3548,0.665438919582566,0.47823529411764704,0.7362903225806452,0.26370967741935486,0.5217647058823529,0.6072628083491461
iteration,outcome=multi_leg_success,1,120,13000,6800,0.5230769230769231,2547,1267,4933,4253,0.6678028316727844,0.3745588235294118,0.7956451612903226,0.2043548387096774,0.6254411764705883,0.5851019924098672
iteration,outcome=multi_leg_success,1,180,13000,6800,0.5230769230769231,1868,749,5451,4932,0.7137944210928544,0.2747058823529412,0.8791935483870967,0.12080645161290322,0.7252941176470589,0.5769497153700189
iteration,outcome=multi_leg_success,1,240,13000,6800,0.5230769230769231,1381,475,5725,5419,0.744073275862069,0.20308823529411765,0.9233870967741935,0.07661290322580645,0.7969117647058823,0.5632376660341556
iteration,outcome=multi_leg_success,2,10,13000,4420,0.34,3792,5378,3202,628,0.4135223555070883,0.857918552036199,0.3731934731934732,0.6268065268065268,0.1420814479638009,0.6155560126148361
iteration,outcome=multi_leg_success,2,20,13000,4420,0.34,3483,4525,4055,937,0.43494005994005996,0.7880090497737556,0.4726107226107226,0.5273892773892774,0.21199095022624434,0.6303098861922392
iteration,outcome=multi_leg_success,2,40,13000,4420,0.34,2936,3581,4999,1484,0.4505140402025472,0.6642533936651583,0.5826340326340327,0.41736596736596737,0.3357466063348416,0.6234437131495956
iteration,outcome=multi_leg_success,2,60,13000,4420,0.34,2584,3016,5564,1836,0.4614285714285714,0.5846153846153846,0.6484848484848484,0.3515151515151515,0.4153846153846154,0.6165501165501166
iteration,outcome=multi_leg_success,2,80,13000,4420,0.34,2256,2631,5949,2164,0.4616329036218539,0.5104072398190045,0.6933566433566434,0.3066433566433566,0.48959276018099546,0.6018819415878239
iteration,outcome=multi_leg_success,2,120,13000,4420,0.34,1868,1946,6634,2552,0.4897745149449397,0.42262443438914027,0.7731934731934732,0.2268065268065268,0.5773755656108597,0.5979089537913067
iteration,outcome=multi_leg_success,2,180,13000,4420,0.34,1412,1205,7375,3008,0.5395491020252197,0.3194570135746606,0.8595571095571095,0.14044289044289043,0.6805429864253394,0.5895070615658851
