sample_seed,shot,trajectory,shot_class,gamma_seed,exact_reproduction,match_convergence,match_logical,match_iterations,match_legs,match_weight,match_final_rng_state,match_rng_words,match_accepted_gamma,converged,logical_correct,total_iterations,relay_legs,candidate_weight,archived_cycles,final_rng_state,rng_words,accepted_gamma,initial_residual,best_residual,iterations_to_first_meaningful_improvement,longest_no_best_improvement,total_no_improvement_iterations,residual_increases,equal_residual_iterations,residual_vector_movement,exact_residual_repeats,mean_decision_churn,cumulative_decision_churn,frozen_stagnation_steps,churning_stagnation_steps,productive_legs,weak_legs,stagnant_legs,regressive_legs,marginal_saturation_hits,nu_saturation_hits,mu_saturation_hits,accumulator_saturation_hits,repeated_marginal_saturation_sites,repeated_nu_saturation_sites,repeated_mu_saturation_sites,mean_marginal_saturation_fraction,mean_marginal_near_zero_fraction,i5_residual_weight,i5_best_residual_so_far,i5_iterations_since_best,i5_decision_changes,i5_marginal_near_zero_fraction,i5_marginal_sat_fraction,i5_residual_improvement,i5_cumulative_decision_churn,i10_residual_weight,i10_best_residual_so_far,i10_iterations_since_best,i10_decision_changes,i10_marginal_near_zero_fraction,i10_marginal_sat_fraction,i10_residual_improvement,i10_cumulative_decision_churn,i20_residual_weight,i20_best_residual_so_far,i20_iterations_since_best,i20_decision_changes,i20_marginal_near_zero_fraction,i20_marginal_sat_fraction,i20_residual_improvement,i20_cumulative_decision_churn,i40_residual_weight,i40_best_residual_so_far,i40_iterations_since_best,i40_decision_changes,i40_marginal_near_zero_fraction,i40_marginal_sat_fraction,i40_residual_improvement,i40_cumulative_decision_churn,first_leg_end_residual,first_leg_residual_improvement,first_leg_best_residual,first_leg_no_improvement_streak,first_leg_decision_churn,first_leg_near_zero_fraction,first_leg_marginal_sat_fraction
20260811,25,E0,moderately_hard,4924991655058300892,1,1,1,1,1,1,1,1,1,1,1,371,6,359.6067667074997,1412009477,5314586986174548259,481503,338760,169,0,3,126,347,145,23,37143,1,466.15633423180594,172944,2,317,2,3,1,0,1151412,6731591,0,0,57058,348972,170668,0.04580730293039559,0.04186669855719241,103,103,0,204,0.07183551777069312,0.0,66,1633,39,39,0,68,0.018228244184673514,0.0,130,2100,26,26,0,38,0.008044042980281024,0.0,143,2672,14,11,6,26,0.005534891958908962,0.0,155,3270,13,156,6,11,4065,0.0037784862439485182,0.8421596410438068
20260811,25,E1,moderately_hard,10773553486900403650,1,1,1,1,1,1,1,1,1,1,1,320,5,404.797502354038,1217715603,3685955995784858836,385785,271008,169,0,3,210,295,123,17,31897,1,470.75625,150642,0,270,2,1,1,1,1151412,6731591,0,0,57058,348972,170668,0.05310784183492738,0.043051588882985006,103,103,0,204,0.07183551777069312,0.0,66,1633,39,39,0,68,0.018228244184673514,0.0,130,2100,26,26,0,38,0.008044042980281024,0.0,143,2672,14,11,6,26,0.005534891958908962,0.0,155,3270,13,156,6,11,4065,0.0037784862439485182,0.8421596410438068
20260812,14,E0,reverse_counterexample,12992113586448757321,1,1,1,1,1,1,1,1,1,1,1,403,7,399.6399398989042,1534317519,4476435599176964182,578380,406512,193,0,2,354,384,156,32,35027,32,412.8684863523573,166386,14,299,2,0,4,1,1163890,6802039,0,0,59490,361512,193023,0.04262703680361628,0.03557357925137569,97,97,0,151,0.05214606210886764,0.0,96,1538,75,68,1,99,0.025342425315857835,0.0,118,2121,37,37,0,46,0.010169441492502066,0.0,156,2724,9,7,7,17,0.002450112173810367,0.0,184,3170,2,191,1,32,3275,0.001151257527453064,0.8831030818278427
20260812,14,E1,reverse_counterexample,16000821272086832410,1,1,1,1,1,1,1,1,1,0,0,1940,32,,7384341607,14389645815256749313,2985851,2100312,193,1,2,1892,1922,747,128,189713,40,334.6603092783505,649241,14,1724,1,0,20,11,1163890,6802039,0,0,59490,361512,193023,0.008854997851472866,0.04114965069696273,97,97,0,151,0.05214606210886764,0.0,96,1538,75,68,1,99,0.025342425315857835,0.0,118,2121,37,37,0,46,0.010169441492502066,0.0,156,2724,9,7,7,17,0.002450112173810367,0.0,184,3170,2,191,1,32,3275,0.001151257527453064,0.8831030818278427
20260811,28,E0,hard_major_improvement,9658996613670898465,1,1,1,1,1,1,1,1,1,1,1,538,9,378.9390246048778,2047936562,17638142300553703491,771074,542016,170,0,2,437,515,223,36,49354,8,369.32156133828994,198695,5,446,2,1,5,1,6457,30655,0,0,1731,7963,0,0.00017714397709380503,0.03915504654850996,96,96,0,147,0.05790234974613295,0.0,74,1244,56,56,0,73,0.024146888652733497,0.0,114,1672,33,33,0,79,0.016707993859959854,0.0,137,2466,19,15,9,46,0.006848506317156689,0.0,151,3436,2,168,2,16,4020,0.0021549179360018894,0.06045577990317629
20260811,28,E1,hard_major_improvement,15355693094233425345,1,1,1,1,1,1,1,1,1,1,1,109,2,340.17385358258394,415081681,16165619999308530830,96093,67752,170,0,2,44,87,40,9,8940,6,650.1376146788991,70865,0,76,2,0,0,0,6457,30655,0,0,1731,7963,0,0.000874343666756579,0.031220446723668943,96,96,0,147,0.05790234974613295,0.0,74,1244,56,56,0,73,0.024146888652733497,0.0,114,1672,33,33,0,79,0.016707993859959854,0.0,137,2466,19,15,9,46,0.006848506317156689,0.0,151,3436,2,168,2,16,4020,0.0021549179360018894,0.06045577990317629
20260810,4,E0,severe_success,7832633304671189574,1,1,1,1,1,1,1,1,1,1,1,967,16,417.4496396252037,3680790570,7015408005180569949,1445182,1016280,178,0,3,493,935,396,40,98102,5,276.48810754912097,267364,6,881,5,1,4,6,0,0,0,0,0,0,0,0.0,0.0438046727507817,151,142,2,327,0.12427677411736923,0.0,27,2159,114,111,2,223,0.06324536545046641,0.0,64,3129,87,77,1,176,0.05745955838942024,0.0,91,4918,85,68,10,168,0.04785098594875428,0.0,93,8254,69,109,53,9,13562,0.03331266973668674,0.0
20260810,4,E1,severe_success,9365783717583519640,1,1,1,1,1,1,1,1,1,1,1,183,3,426.9427056849722,696518604,17148507727127044666,192713,135504,178,0,3,23,155,77,10,16768,0,240.92896174863387,44090,0,155,3,0,0,0,0,0,0,0,0,0,0,0.0,0.04229141381586461,151,142,2,327,0.12427677411736923,0.0,27,2159,114,111,2,223,0.06324536545046641,0.0,64,3129,87,77,1,176,0.05745955838942024,0.0,91,4918,85,68,10,168,0.04785098594875428,0.0,93,8254,69,109,53,9,13562,0.03331266973668674,0.0
20260810,9,E0,severe_success,10680904030723624696,1,1,1,1,1,1,1,1,1,1,1,1430,24,432.324469819619,5443529947,16680484826886575473,2215916,1558296,213,0,3,1075,1409,549,67,141755,5,316.25174825174827,452240,1,1352,4,1,13,6,0,0,0,0,0,0,0,0.0,0.04451098700567351,148,134,2,326,0.09006376195536663,0.0,65,2599,109,108,1,235,0.05958495690164128,0.0,104,3853,51,51,3,167,0.044840004723107806,0.0,162,5532,60,42,1,139,0.035142874011099307,0.0,153,8607,29,184,24,3,14463,0.019364742000236156,0.0
20260810,9,E1,severe_success,10467770150244613314,1,1,1,1,1,1,1,1,1,1,1,543,9,434.0302850981056,2066879370,16383569928257735103,769937,542016,213,0,3,256,519,215,27,52993,2,343.03867403314916,186270,0,499,3,1,4,1,0,0,0,0,0,0,0,0.0,0.04369831518568316,148,134,2,326,0.09006376195536663,0.0,65,2599,109,108,1,235,0.05958495690164128,0.0,104,3853,51,51,3,167,0.044840004723107806,0.0,162,5532,60,42,1,139,0.035142874011099307,0.0,153,8607,29,184,24,3,14463,0.019364742000236156,0.0
