sample_seed,shot,trajectory,shot_class,relay_leg,starting_residual,first_iteration_residual,minimum_residual,ending_residual,iterations_used,global_best_before,global_best_after,net_endpoint_improvement,new_global_best_improvement,decision_churn,residual_vector_movement,frozen_stagnation_steps,churning_stagnation_steps,marginal_saturation_hits,nu_saturation_hits,mu_saturation_hits,accumulator_saturation_hits,mean_marginal_sat_fraction,mean_marginal_near_zero_fraction,converged,category
20260811,28,E0,hard_major_improvement,1,170,205,2,2,80,170,2,168,168,4020,2468,0,52,6457,30655,0,0,0.001191293245955839,0.014648091569252569,0,productive
20260811,28,E0,hard_major_improvement,2,2,855,1,7,60,2,1,-5,1,72476,8679,4,37,0,0,0,0,0.0,0.05445152910615186,0,weak
20260811,28,E0,hard_major_improvement,3,7,893,4,11,60,1,1,-4,0,24421,5420,1,50,0,0,0,0,0.0,0.03753689927972606,0,stagnant
20260811,28,E0,hard_major_improvement,4,11,876,2,386,60,1,1,-375,0,27437,6649,0,57,0,0,0,0,0.0,0.04289664265753533,0,regressive
20260811,28,E0,hard_major_improvement,5,386,803,6,25,60,1,1,361,0,14154,5345,0,53,0,0,0,0,0.0,0.04119287991498406,0,stagnant
20260811,28,E0,hard_major_improvement,6,25,672,7,13,60,1,1,12,0,16790,8140,0,59,0,0,0,0,0.0,0.06511665092297399,0,stagnant
20260811,28,E0,hard_major_improvement,7,13,539,3,11,60,1,1,2,0,6193,4610,0,57,0,0,0,0,0.0,0.03667001220136183,0,stagnant
20260811,28,E0,hard_major_improvement,8,11,849,2,3,60,1,1,8,0,20667,5566,0,50,0,0,0,0,0.0,0.03918629708348093,0,stagnant
20260811,28,E0,hard_major_improvement,9,3,849,0,0,38,1,0,3,1,12537,2477,0,31,0,0,0,0,0.0,0.02290823809435029,1,productive
20260811,28,E1,hard_major_improvement,1,170,205,2,2,80,170,2,168,168,4020,2468,0,52,6457,30655,0,0,0.001191293245955839,0.014648091569252569,0,productive
20260811,28,E1,hard_major_improvement,2,2,860,0,0,29,2,0,2,2,66845,6472,0,24,0,0,0,0,0.0,0.07693728852895551,1,productive
20260810,4,E0,severe_success,1,178,302,53,69,80,178,53,109,125,13562,7085,0,64,0,0,0,0,0.0,0.04668828964458614,0,productive
20260810,4,E0,severe_success,2,69,792,25,227,60,53,25,-158,28,21956,6116,0,52,0,0,0,0,0.0,0.03949797299956705,0,productive
20260810,4,E0,severe_success,3,227,699,8,201,60,25,8,26,17,11133,5682,0,56,0,0,0,0,0.0,0.04173505333175896,0,productive
20260810,4,E0,severe_success,4,201,681,3,21,60,8,3,180,5,18243,6006,0,51,0,0,0,0,0.0,0.04463902664619987,0,productive
20260810,4,E0,severe_success,5,21,686,7,16,60,3,3,5,0,8863,5433,0,59,0,0,0,0,0.0,0.04286958318573621,0,stagnant
20260810,4,E0,severe_success,6,16,876,26,45,60,3,3,-29,0,20294,6167,0,60,0,0,0,0,0.0,0.03944311607037431,0,regressive
20260810,4,E0,severe_success,7,45,878,15,81,60,3,3,-36,0,10896,5756,0,60,0,0,0,0,0.0,0.036328078875900345,0,regressive
20260810,4,E0,severe_success,8,81,873,1,9,60,3,1,72,2,16193,6436,1,47,0,0,0,0,0.0,0.04849377140158224,0,weak
20260810,4,E0,severe_success,9,9,912,1,1,60,1,1,8,0,21100,5510,4,47,0,0,0,0,0.0,0.03757232258826307,0,stagnant
20260810,4,E0,severe_success,10,1,898,12,22,60,1,1,-21,0,24957,6325,0,60,0,0,0,0,0.0,0.04072475105285944,0,regressive
20260810,4,E0,severe_success,11,22,888,9,161,60,1,1,-139,0,15017,6605,0,60,0,0,0,0,0.0,0.04696466524973431,0,regressive
20260810,4,E0,severe_success,12,161,838,6,17,60,1,1,144,0,14917,5900,0,56,0,0,0,0,0.0,0.04421468492935018,0,stagnant
20260810,4,E0,severe_success,13,17,850,9,10,60,1,1,7,0,27351,8021,0,60,0,0,0,0,0.0,0.056920090919825236,0,stagnant
20260810,4,E0,severe_success,14,10,834,11,141,60,1,1,-131,0,16100,5789,0,60,0,0,0,0,0.0,0.03561321683000748,0,regressive
20260810,4,E0,severe_success,15,141,847,7,398,60,1,1,-257,0,19794,7621,0,58,0,0,0,0,0.0,0.05600105285944818,0,regressive
20260810,4,E0,severe_success,16,398,697,0,0,47,1,0,398,1,6988,3650,1,31,0,0,0,0,0.0,0.04176621621282123,1,productive
20260810,4,E1,severe_success,1,178,302,53,69,80,178,53,109,125,13562,7085,0,64,0,0,0,0,0.0,0.04668828964458614,0,productive
20260810,4,E1,severe_success,2,69,749,15,87,60,53,15,-18,38,20437,4974,0,53,0,0,0,0,0.0,0.03290333372692565,0,productive
20260810,4,E1,severe_success,3,87,810,0,0,43,15,0,87,15,10091,4709,0,38,0,0,0,0,0.0,0.04721082635164637,1,productive
20260810,9,E0,severe_success,1,213,337,24,29,80,213,24,184,189,14463,5708,0,66,0,0,0,0,0.0,0.04242162592986185,0,productive
20260810,9,E0,severe_success,2,29,811,8,92,60,24,8,-63,16,32550,7259,0,54,0,0,0,0,0.0,0.05071215609871295,0,productive
20260810,9,E0,severe_success,3,92,870,9,13,60,8,8,79,0,17433,5999,0,59,0,0,0,0,0.0,0.042916814263785574,0,stagnant
20260810,9,E0,severe_success,4,13,904,9,10,60,8,8,3,0,15822,4385,0,59,0,0,0,0,0.0,0.025921744007556976,0,stagnant
20260810,9,E0,severe_success,5,10,875,6,208,60,8,6,-198,2,22810,5220,0,59,0,0,0,0,0.0,0.03248784783721022,0,weak
20260810,9,E0,severe_success,6,208,870,1,116,60,6,1,92,5,25921,8220,1,42,0,0,0,0,0.0,0.06429576494666825,0,productive
20260810,9,E0,severe_success,7,116,507,5,15,60,1,1,101,0,10552,6071,0,57,0,0,0,0,0.0,0.052265123784783714,0,stagnant
20260810,9,E0,severe_success,8,15,871,9,9,60,1,1,6,0,23980,6758,0,57,0,0,0,0,0.0,0.048207432990908024,0,stagnant
20260810,9,E0,severe_success,9,9,855,12,17,60,1,1,-8,0,22960,6234,0,60,0,0,0,0,0.0,0.043138701932538284,0,regressive
20260810,9,E0,severe_success,10,17,848,3,11,60,1,1,6,0,17122,5130,0,55,0,0,0,0,0.0,0.03604961231156768,0,stagnant
20260810,9,E0,severe_success,11,11,865,5,60,60,1,1,-49,0,24548,6057,0,58,0,0,0,0,0.0,0.04255298736568662,0,regressive
20260810,9,E0,severe_success,12,60,636,20,32,60,1,1,28,0,5601,4236,0,60,0,0,0,0,0.0,0.037382414295272955,0,stagnant
20260810,9,E0,severe_success,13,32,866,6,20,60,1,1,12,0,23347,8200,0,58,0,0,0,0,0.0,0.06346307120085017,0,stagnant
20260810,9,E0,severe_success,14,20,709,11,185,60,1,1,-165,0,10411,6061,0,60,0,0,0,0,0.0,0.04396942771677097,0,regressive
20260810,9,E0,severe_success,15,185,813,2,20,60,1,1,165,0,18750,5799,0,59,0,0,0,0,0.0,0.043864387767150785,0,stagnant
20260810,9,E0,severe_success,16,20,866,8,18,60,1,1,2,0,21418,5610,0,60,0,0,0,0,0.0,0.038432321801078445,0,stagnant
20260810,9,E0,severe_success,17,18,848,7,7,60,1,1,11,0,18362,5877,0,58,0,0,0,0,0.0,0.04442845475656316,0,stagnant
20260810,9,E0,severe_success,18,7,872,9,148,60,1,1,-141,0,20114,5913,0,59,0,0,0,0,0.0,0.042864909276970925,0,regressive
20260810,9,E0,severe_success,19,148,654,5,16,60,1,1,132,0,14259,6812,0,58,0,0,0,0,0.0,0.05825756681229582,0,stagnant
20260810,9,E0,severe_success,20,16,890,7,9,60,1,1,7,0,22661,6177,0,60,0,0,0,0,0.0,0.042846705632306054,0,stagnant
20260810,9,E0,severe_success,21,9,837,3,14,60,1,1,-5,0,23431,6077,0,59,0,0,0,0,0.0,0.0430813850513638,0,regressive
20260810,9,E0,severe_success,22,14,871,2,3,60,1,1,11,0,19324,5309,0,48,0,0,0,0,0.0,0.040581335852324166,0,stagnant
20260810,9,E0,severe_success,23,3,841,17,164,60,1,1,-161,0,20098,5341,0,60,0,0,0,0,0.0,0.03743038335891683,0,regressive
20260810,9,E0,severe_success,24,164,691,0,0,30,1,0,164,1,6303,3302,0,27,0,0,0,0,0.0,0.05826494666824103,1,productive
20260810,9,E1,severe_success,1,213,337,24,29,80,213,24,184,189,14463,5708,0,66,0,0,0,0,0.0,0.04242162592986185,0,productive
20260810,9,E1,severe_success,2,29,835,4,18,60,24,4,11,20,29988,6501,0,45,0,0,0,0,0.0,0.04980763175502814,0,productive
20260810,9,E1,severe_success,3,18,852,5,5,60,4,4,13,0,17289,6025,0,58,0,0,0,0,0.0,0.04299479474160663,0,stagnant
20260810,9,E1,severe_success,4,5,880,4,4,60,4,4,1,0,21959,5317,0,60,0,0,0,0,0.0,0.03543757625851144,0,stagnant
20260810,9,E1,severe_success,5,4,856,3,6,60,4,3,-2,1,19785,5848,0,54,0,0,0,0,0.0,0.043055309560357385,0,weak
20260810,9,E1,severe_success,6,6,890,7,19,60,3,3,-13,0,24937,6129,0,58,0,0,0,0,0.0,0.04248853662376509,0,regressive
20260810,9,E1,severe_success,7,19,854,3,15,60,3,3,4,0,21379,6256,0,56,0,0,0,0,0.0,0.04279922855905852,0,stagnant
20260810,9,E1,severe_success,8,15,844,13,18,60,3,3,-3,0,16796,6143,0,60,0,0,0,0,0.0,0.04734079190774196,0,stagnant
20260810,9,E1,severe_success,9,18,884,0,0,43,3,0,18,3,19674,5066,0,42,0,0,0,0,0.0,0.04881448621099661,1,productive
20260809,18,E0,rescue,1,232,338,8,12,80,232,8,220,224,5684,3702,0,57,388329,2099587,0,0,0.07164567097650254,0.024638571555083248,0,productive
