case_id,sample_seed,shot,gamma_seed,syndrome_hash,logical_outcome_hash,classification,archive_reproduction,original_converged,partitioned_converged,original_syndrome_valid,partitioned_syndrome_valid,original_logical_correct,partitioned_logical_correct,original_iterations,partitioned_iterations,original_relay_legs,partitioned_relay_legs,original_final_residual,partitioned_final_residual,original_candidate_weight,partitioned_candidate_weight,candidate_weight_delta,correction_hash,partitioned_inverse_correction_hash,correction_exact,logical_action_exact,trace_exact,trace_iterations_compared,final_rng_state,accepted_gamma_count,accepted_gamma_sequence_hash,original_runtime_seconds,partitioned_runtime_seconds,first_trace_difference
20260809_020,20260809,20,1875523349383067887,d1de07ec1678d4f882cf159b04401e2f091dd81c7fdb99bbb8cf5c7a2414df39,783c355ad1b2d293d966dc05101ca060fd4d26edb56ab7c7f49587d099e42f47,EXACT MATCH,True,1,1,1,1,1,1,74,74,1,1,0,0,295.8497901266065,295.8497901266064,-5.684341886080802e-14,6d8b2f01038cb4a22ba11c09c9ffda52fcbe5acaf18fcbb219f2ae2e86472cea,6d8b2f01038cb4a22ba11c09c9ffda52fcbe5acaf18fcbb219f2ae2e86472cea,True,True,True,74,1875523349383067887,0,b1f44c4a0fb9a1844cb3161bbf64eb5ea67b5bf8c5a5ea4f2bab88b4dd19d4e2,8.918241125007626,9.099972541996976,null
20260809_021,20260809,21,551847097978454530,5a83590b88819ed029e089befd7caae3e032a3d49cc41c29c95cc7913dcb2db4,8f375801003fc88b0c8a3d260ade28b87a8af1c86e28be139ccf6353f0b1c7dd,EXACT MATCH,True,1,1,1,1,1,1,26,26,1,1,0,0,271.03848372018774,271.03848372018774,0.0,36314f1dc2c2cbfd838a552555ade99d3e3f4e0a458ff143063054b10cb68921,36314f1dc2c2cbfd838a552555ade99d3e3f4e0a458ff143063054b10cb68921,True,True,True,26,551847097978454530,0,b1f44c4a0fb9a1844cb3161bbf64eb5ea67b5bf8c5a5ea4f2bab88b4dd19d4e2,3.3739256669941824,2.657659166987287,null
20260809_022,20260809,22,8845461622687559147,8696cffaed89cfc29763fc53038712ecb6d0a3d66bccc560c2f2508d0f28c5c7,6a52cc13d78ca3915cacc662b84fcf1c99cec0fcafb9ffdf42c357da190f63ee,EXACT MATCH,True,1,1,1,1,1,1,40,40,1,1,0,0,320.50100238223763,320.50100238223763,0.0,8a572a8261a4cf2e9b37291bfc5d3e70683a678c4bc0c629dbd3faa1026ad3e8,8a572a8261a4cf2e9b37291bfc5d3e70683a678c4bc0c629dbd3faa1026ad3e8,True,True,True,40,8845461622687559147,0,b1f44c4a0fb9a1844cb3161bbf64eb5ea67b5bf8c5a5ea4f2bab88b4dd19d4e2,4.023279624991119,4.827517291007098,null
20260809_023,20260809,23,6062447919674616279,7007538714962ac100d6c268c0b3f577b010b2720bd166cf745058211ea75fd9,72bf608449e1cead5ec7006f556928a60242eb68503aa907f9917fd805e8f95c,EXACT MATCH,True,1,1,1,1,1,1,101,101,2,2,0,0,380.1952834876488,380.19528348764885,5.684341886080802e-14,8b919ece9fc55d7bb99d8d7b7b6c0f585fc4e180f8e6607d5b0dfa055e9e7e4d,8b919ece9fc55d7bb99d8d7b7b6c0f585fc4e180f8e6607d5b0dfa055e9e7e4d,True,True,True,101,9690710186858140026,67752,c80a062c60600f019f45e91d3b3a273da3ea3369cf424c4c8305cffef04814a1,11.646567791991401,11.001252167014172,null
20260809_024,20260809,24,7757827362317347828,27dccc1092ae6e81466b1d61c7d3e72d7fbab245817a719e2b473739af533d36,8ed7c07ccb53e4680f5e0df58cbe6f96d32ff4a40a7f623ba098b4cb335786af,EXACT MATCH,True,1,1,1,1,1,1,127,127,2,2,0,0,305.3030348228176,305.3030348228176,0.0,c49cb4ec69b732977b1a62126de3c7fb892531fc29c9932b7364380c66982afa,c49cb4ec69b732977b1a62126de3c7fb892531fc29c9932b7364380c66982afa,True,True,True,127,4751993951996633538,67752,fb6d322b77d660260409f9c2305dd037fb9b0b355369f0b4b6b06cbaf9722dc5,14.07146570799523,13.699205291020917,null
20260809_025,20260809,25,13260707096550732358,57a57873d4f11783ed2db6afbffdd23a03398e08c6b77287fe8755c1fa7e9bc8,e788305f04b3cde38c74906ba57b9f41015196b063bd2379557b17fcd0a28d26,EXACT MATCH,True,1,1,1,1,1,1,200,200,3,3,0,0,319.49809733426,319.49809733426,0.0,e2ae5a44bc933441654963d16e1b1f3c5041a8d063d111b2b35c1e6eb0ac0a09,e2ae5a44bc933441654963d16e1b1f3c5041a8d063d111b2b35c1e6eb0ac0a09,True,True,True,200,8747656401113148464,135504,f6f86d7e320c6f55eb5689d753488aaf3b0fc257575348581465034d318196bd,21.565072249999503,21.771804334013723,null
20260809_026,20260809,26,6932175579934644575,81d33f91b8ccbac5de15e7fa2154a0fc89ee104c12e66c1a76e013625b5111ee,ef97e558613568a505c3dab3db773d7e239a589bd06035bcb1af7ec1e6cf1035,EXACT MATCH,True,1,1,1,1,1,1,133,133,2,2,0,0,341.42504542770973,341.42504542770973,0.0,865031a7946765ccfdbacdafd90e1cc80a6c8f64ac2fe80dd951cab757a71470,865031a7946765ccfdbacdafd90e1cc80a6c8f64ac2fe80dd951cab757a71470,True,True,True,133,6445658447530490045,67752,0d6ffcbf74dc4fde9f3a54bb977d49aa571c3230df186b748fd1c5d0ea6074dc,14.066408874990884,14.16589566701441,null
20260809_027,20260809,27,11884719810708706365,cd5199ea4f73ef83d40affc78c2329fe63e0f6c3f3f38bf9a488bdfe7edc2b85,184aeb6e09e2b1399d7adbf444b5beb6f53cb6c25752342fa6a25acaf55c817a,EXACT MATCH,True,1,1,1,1,1,1,230,230,4,4,0,0,305.8961437149436,305.89614371494366,5.684341886080802e-14,5328871712c05e65542c85f6913313e38f4ab822af0c066f8436a2f408a31228,5328871712c05e65542c85f6913313e38f4ab822af0c066f8436a2f408a31228,True,True,True,230,9463943179579768499,203256,518765a4c0333dc3c5ca84d271b3cfad1040849b827fa3645db38b2e537a04cf,24.516641207999783,24.755714708007872,null
20260809_028,20260809,28,3658223131164006700,258ed2a3c2166ca6eb01c09e7e3e823085ca5d6b2dd8ea686050f343ca23f118,5a87de08bf0375c53209b6dddfcc726135cd7c4c2ec4742d742da654ebb4bd5d,EXACT MATCH,True,1,1,1,1,1,1,290,290,5,5,0,0,384.4521889704082,384.4521889704082,0.0,259e522986f068f0fdcef63be411511a1ff5066d1a2297081053eff98ffbde73,259e522986f068f0fdcef63be411511a1ff5066d1a2297081053eff98ffbde73,True,True,True,290,16306700188891736346,271008,8c1f02152495666caa314f24962d6ad9bc8976d5abe1ddfd503d0b11cb63ef67,30.522200667008292,32.75263412500499,null
20260809_029,20260809,29,11201231684163992143,6bb1ea3b1f691041612d8f944b189b92b47ab0cd8f6661834508ea60dca47fd3,8f375801003fc88b0c8a3d260ade28b87a8af1c86e28be139ccf6353f0b1c7dd,EXACT MATCH,True,1,1,1,1,1,1,551,551,9,9,0,0,381.23890408180216,381.23890408180216,0.0,4afb5ed60a0111fa66c2fa0a80153bdad7bd0dc6be4be7ce3d7caae354649814,4afb5ed60a0111fa66c2fa0a80153bdad7bd0dc6be4be7ce3d7caae354649814,True,True,True,551,17528790656873332098,542016,7c52c0d6cafc8cd6047d860f6412ac2e5889688cd19aeee8824a322c376ed1f2,60.266628541983664,60.654543583019404,null
20260809_030,20260809,30,5972348325028625597,9df0710ef1e0acb2745a96d0d9d1f9938274c749b4a87237dc5a3c5eb616d1bf,fbd8d8a07293b018af76b692382141513483ba2d1561c22597cc1844136b89c9,EXACT MATCH,True,1,1,1,1,1,1,56,56,1,1,0,0,335.8874928717877,335.8874928717877,0.0,533debbe8464ce12a2894e212bd67b58e80d6d07ad11e7f70854d5689a6ea803,533debbe8464ce12a2894e212bd67b58e80d6d07ad11e7f70854d5689a6ea803,True,True,True,56,5972348325028625597,0,b1f44c4a0fb9a1844cb3161bbf64eb5ea67b5bf8c5a5ea4f2bab88b4dd19d4e2,5.620001041999785,5.707834915985586,null
20260809_031,20260809,31,15718977782930520314,0f0ebfebcc671911a79983506df325ff262d75a1d235940f1d87b309875974d8,80b63944b8ddfb6e5a434a9eb879e1120c258bcc476715114b553fcda1566bce,EXACT MATCH,True,1,1,1,1,1,1,22,22,1,1,0,0,275.3124962264201,275.3124962264201,0.0,21c59019b6e72bd115e130ef5ccbf98c1bb74a142a90e2ed70d1d872c26820bf,21c59019b6e72bd115e130ef5ccbf98c1bb74a142a90e2ed70d1d872c26820bf,True,True,True,22,15718977782930520314,0,b1f44c4a0fb9a1844cb3161bbf64eb5ea67b5bf8c5a5ea4f2bab88b4dd19d4e2,0.5047301659942605,0.5046730000176467,null
20260810_000,20260810,0,8839714986294915775,4757744a20923927e4be055c4a79ae769237a6c50ef72581027daabc242eb0e4,0c909116348ee4ce8d492f320764690dd3fd1c1e9ff996ab032ad36c49791171,EXACT MATCH,True,1,1,1,1,1,1,67,67,1,1,0,0,480.8124033205825,480.81240332058246,-5.684341886080802e-14,833236ec656ea6d1f3407389461d7ab3ee7b879585e5f0cbee2f6872ab14f036,833236ec656ea6d1f3407389461d7ab3ee7b879585e5f0cbee2f6872ab14f036,True,True,True,67,8839714986294915775,0,b1f44c4a0fb9a1844cb3161bbf64eb5ea67b5bf8c5a5ea4f2bab88b4dd19d4e2,6.734364500007359,7.652771167020546,null
20260810_001,20260810,1,6287634936413551160,3bcaaead28573572e576adb530810418fbdbb758a6111075e54cd4ef23dd4500,baa7ceab1c33df71b6d4b4aabf68a5815ba775196aa5e8d3b4587c03d0e572b2,EXACT MATCH,True,1,1,1,1,1,1,31,31,1,1,0,0,309.04388017571375,309.04388017571375,0.0,5e2b86aab5790e9c601c5c47ea1b29b0ea70371fad2ba2e8ab7c6ee8e6746880,5e2b86aab5790e9c601c5c47ea1b29b0ea70371fad2ba2e8ab7c6ee8e6746880,True,True,True,31,6287634936413551160,0,b1f44c4a0fb9a1844cb3161bbf64eb5ea67b5bf8c5a5ea4f2bab88b4dd19d4e2,3.142957166011911,3.9739448339969385,null
20260810_002,20260810,2,13648327618015960820,088e3a7979589c4dd0b9a7fa9f5e88f010f567c8b67e4c8703225d76bbac097f,b6ae0c37acbb0442d4771fd86181ea6367622052163a7dbadccb8b4ca48e77b8,EXACT MATCH,True,1,1,1,1,1,1,74,74,1,1,0,0,324.6141466832845,324.6141466832845,0.0,939fa2d52f804ece5f2b2e7581f3be2c6abae53555bcacbf6bd940b7ddc2565d,939fa2d52f804ece5f2b2e7581f3be2c6abae53555bcacbf6bd940b7ddc2565d,True,True,True,74,13648327618015960820,0,b1f44c4a0fb9a1844cb3161bbf64eb5ea67b5bf8c5a5ea4f2bab88b4dd19d4e2,8.337299250008073,8.404407417023322,null
20260810_003,20260810,3,12235124074519564628,7f47942917bb3c87fe4930832587ba9e440678cb4b757dbea8cff7bd461ccf01,98ae47195ae7b4cfa3795bb80c5c7e309a2b0d72e52c6d883e90808c47a89fc1,EXACT MATCH,True,1,1,1,1,1,1,110,110,2,2,0,0,375.0155358314672,375.0155358314672,0.0,3f85690307d97d40d0c0cf599487ba29a2ae9b6679554588f6e00d41d58f0e8c,3f85690307d97d40d0c0cf599487ba29a2ae9b6679554588f6e00d41d58f0e8c,True,True,True,110,17430491466803501451,67752,db2c94b5f1bfdf79a4d88cae6152d67b9a097092765aae61c6244201db723780,11.173659833002603,12.889787832973525,null
20260810_004,20260810,4,7832633304671189574,a2142c67ec4042a2f576374058ea8f65a81ecb67b628a1253c2e4282aa6a7339,72ed88f467715bf70bcc4d253af8e858da1baa1527290f5394a8dbe6746b64a3,EXACT MATCH,True,1,1,1,1,1,1,967,967,16,16,0,0,417.4496396252037,417.4496396252037,0.0,47d69600d71440f6b0bbc141c0758a4e9211a0d533403b9bba8fb5f1a0fc1c3a,47d69600d71440f6b0bbc141c0758a4e9211a0d533403b9bba8fb5f1a0fc1c3a,True,True,True,967,7015408005180569949,1016280,a299953170ee4521b5ea62043516a3af9971e1cfcb3757735d14ebb3596a5a02,106.09611608300474,101.8134895839903,null
20260810_005,20260810,5,17891653386005265156,41cac96dd6337d6bf1cd0013384d8f41370be6c18ee0554b34652d7125a1e007,169b5b823c62b64ca7e5f8456a13c8d5d06f4ece522a58bc2b8a784dcf3609b0,EXACT MATCH,True,1,1,1,1,1,1,49,49,1,1,0,0,402.39280073000907,402.39280073000907,0.0,546607a62d2ecfe425629800649c1332b286c935382f49a035daac8e7e2067ff,546607a62d2ecfe425629800649c1332b286c935382f49a035daac8e7e2067ff,True,True,True,49,17891653386005265156,0,b1f44c4a0fb9a1844cb3161bbf64eb5ea67b5bf8c5a5ea4f2bab88b4dd19d4e2,4.925433291005902,5.720715292001842,null
