trajectory,case_id,sample_seed,shot,delta,absolute_delta,selection_affected
E1,20260810_023,20260810,23,0.0,0.0,False
E1,20260810_024,20260810,24,0.0,0.0,False
E1,20260810_025,20260810,25,0.0,0.0,False
E1,20260810_026,20260810,26,1.1368683772161603e-13,1.1368683772161603e-13,False
E1,20260810_027,20260810,27,0.0,0.0,False
E1,20260810_028,20260810,28,0.0,0.0,False
E1,20260810_029,20260810,29,0.0,0.0,False
E1,20260810_030,20260810,30,0.0,0.0,False
E1,20260810_031,20260810,31,0.0,0.0,False
E1,20260811_000,20260811,0,-5.684341886080802e-14,5.684341886080802e-14,False
E1,20260811_001,20260811,1,5.684341886080802e-14,5.684341886080802e-14,False
E1,20260811_002,20260811,2,5.684341886080802e-14,5.684341886080802e-14,False
E1,20260811_003,20260811,3,0.0,0.0,False
E1,20260811_004,20260811,4,0.0,0.0,False
E1,20260811_005,20260811,5,5.684341886080802e-14,5.684341886080802e-14,False
E1,20260811_006,20260811,6,0.0,0.0,False
E1,20260811_007,20260811,7,0.0,0.0,False
E1,20260811_008,20260811,8,0.0,0.0,False
E1,20260811_009,20260811,9,0.0,0.0,False
E1,20260811_010,20260811,10,0.0,0.0,False
E1,20260811_011,20260811,11,0.0,0.0,False
E1,20260811_012,20260811,12,0.0,0.0,False
E1,20260811_013,20260811,13,5.684341886080802e-14,5.684341886080802e-14,False
E1,20260811_014,20260811,14,0.0,0.0,False
E1,20260811_015,20260811,15,-5.684341886080802e-14,5.684341886080802e-14,False
E1,20260811_016,20260811,16,0.0,0.0,False
E1,20260811_017,20260811,17,0.0,0.0,False
E1,20260811_018,20260811,18,0.0,0.0,False
E1,20260811_019,20260811,19,0.0,0.0,False
E1,20260811_020,20260811,20,-5.684341886080802e-14,5.684341886080802e-14,False
E1,20260811_021,20260811,21,0.0,0.0,False
E1,20260811_022,20260811,22,5.684341886080802e-14,5.684341886080802e-14,False
E1,20260811_023,20260811,23,0.0,0.0,False
E1,20260811_024,20260811,24,0.0,0.0,False
E1,20260811_025,20260811,25,5.684341886080802e-14,5.684341886080802e-14,False
E1,20260811_026,20260811,26,-5.684341886080802e-14,5.684341886080802e-14,False
E1,20260811_027,20260811,27,0.0,0.0,False
E1,20260811_028,20260811,28,5.684341886080802e-14,5.684341886080802e-14,False
E1,20260811_029,20260811,29,-2.842170943040401e-14,2.842170943040401e-14,False
E1,20260811_030,20260811,30,-5.684341886080802e-14,5.684341886080802e-14,False
E1,20260811_031,20260811,31,5.684341886080802e-14,5.684341886080802e-14,False
E1,20260812_000,20260812,0,-5.684341886080802e-14,5.684341886080802e-14,False
E1,20260812_001,20260812,1,0.0,0.0,False
E1,20260812_002,20260812,2,0.0,0.0,False
E1,20260812_003,20260812,3,5.684341886080802e-14,5.684341886080802e-14,False
E1,20260812_004,20260812,4,-5.684341886080802e-14,5.684341886080802e-14,False
E1,20260812_005,20260812,5,0.0,0.0,False
E1,20260812_006,20260812,6,5.684341886080802e-14,5.684341886080802e-14,False
E1,20260812_007,20260812,7,0.0,0.0,False
E1,20260812_008,20260812,8,0.0,0.0,False
E1,20260812_009,20260812,9,5.684341886080802e-14,5.684341886080802e-14,False
E1,20260812_010,20260812,10,-1.1368683772161603e-13,1.1368683772161603e-13,False
E1,20260812_011,20260812,11,5.684341886080802e-14,5.684341886080802e-14,False
E1,20260812_012,20260812,12,-5.684341886080802e-14,5.684341886080802e-14,False
E1,20260812_013,20260812,13,5.684341886080802e-14,5.684341886080802e-14,False
E1,20260812_014,20260812,14,,,False
