sample_seed,shot,E0_iterations,E0_legs,E1_iterations,E1_legs,E0_L1_cycle,E1_L1_cycle,E0_L2_cycle,E1_L2_cycle,L1_winner,L2_winner,winner_changed,L1_first_success_cycle,L2_first_success_cycle,added_cycle,rescue,lost_success
20260812,8,79,1,79,1,255025120,255025120,260748382,260748382,E0,E0,False,255025120,260748382,5723262,0,False
20260812,9,58,1,58,1,187517785,187517785,191745679,191745679,E0,E0,False,187517785,191745679,4227894,0,False
20260812,10,36,1,36,1,116795815,116795815,119457133,119457133,E0,E0,False,116795815,119457133,2661318,0,False
20260812,11,48,1,48,1,155371435,155371435,158887249,158887249,E0,E0,False,155371435,158887249,3515814,0,False
20260812,12,99,2,347,6,320386775,1121892075,327632027,1147188231,E0,E0,False,320386775,327632027,7245252,0,False
20260812,13,173,3,102,2,559338720,330030680,571951194,337489556,E1,E1,False,330030680,337489556,7458876,0,False
20260812,14,403,7,1940,32,1302980590,6270598460,1332362224,6411872540,E0,E0,False,1302980590,1332362224,29381634,0,False
20260812,15,641,11,290,5,2072339540,937588925,2119059998,958728395,E1,E1,False,937588925,958728395,21139470,0,False
20260812,16,71,1,71,1,229308040,229308040,234461638,234461638,E0,E0,False,229308040,234461638,5153598,0,False
20260812,17,55,1,55,1,177873880,177873880,181888150,181888150,E0,E0,False,177873880,181888150,4014270,0,False
20260812,18,59,1,59,1,190732420,190732420,195031522,195031522,E0,E0,False,190732420,195031522,4299102,0,False
20260812,19,106,2,336,6,342889220,1086531090,350632928,1111043958,E0,E0,False,342889220,350632928,7743708,0,False
20260812,20,616,10,286,5,1990904710,924730385,2035747138,945585023,E1,E1,False,924730385,945585023,20854638,0,False
20260812,21,48,1,48,1,155371435,155371435,158887249,158887249,E0,E0,False,155371435,158887249,3515814,0,False
20260812,22,116,2,163,3,375035570,527192370,383491358,539092764,E0,E0,False,375035570,383491358,8455788,0,False
20260812,23,34,1,34,1,110366545,110366545,112885447,112885447,E0,E0,False,110366545,112885447,2518902,0,False
20260812,24,417,7,1057,18,1347985480,3417110385,1378364026,3494138181,E0,E0,False,1347985480,1378364026,30378546,0,False
20260812,25,133,2,129,2,429684365,416825825,439350689,426207317,E1,E1,False,416825825,426207317,9381492,0,False
20260812,26,78,1,78,1,251810485,251810485,257462539,257462539,E0,E0,False,251810485,257462539,5652054,0,False
20260812,27,64,1,64,1,206805595,206805595,211460737,211460737,E0,E0,False,206805595,211460737,4655142,0,False
20260812,28,48,1,48,1,155371435,155371435,158887249,158887249,E0,E0,False,155371435,158887249,3515814,0,False
20260812,29,110,2,95,2,355747760,307528235,363776300,314488655,E1,E1,False,307528235,314488655,6960420,0,False
20260812,30,79,1,79,1,255025120,255025120,260748382,260748382,E0,E0,False,255025120,260748382,5723262,0,False
20260812,31,318,5,1940,32,1027598705,6270598460,1050731999,6411872540,E0,E0,False,1027598705,1050731999,23133294,0,False
