configuration,policy,state_percentile,shot,syndrome_converged,logically_correct,logical_classification_agrees_with_float,correction_hamming_distance,iterations,relay_legs,relay_legs_agree_with_float,edge_saturation,state_saturation,guard_saturation,state_deliberately_clipped,state_clip_candidates,state_nonzero_to_zero,state_value_count,edge_nonzero_to_zero,edge_value_count,edge_exponent_min,edge_exponent_max,state_exponent_min,state_exponent_max,threshold_bucket_equal,threshold_bucket_above
balanced,A_max,,60,1,1,1,26,179,3,0,0,0,0,0,24255216,3902732,24255216,391320,140092560,0,30,0,30,161465,0
balanced,A_max,,61,1,1,1,38,248,4,1,0,0,0,0,33604992,3437234,33604992,391320,194094720,0,26,0,26,194074,0
balanced,A_max,,62,1,1,1,37,180,3,0,0,0,0,0,24390720,3273822,24390720,391320,140875200,0,27,0,27,168231,0
balanced,A_max,,63,1,1,1,29,109,2,0,0,0,0,0,14769936,256613,14769936,0,85307760,0,5,0,5,76367,0
balanced,A_max,,64,1,1,1,21,133,2,0,0,0,0,0,18022032,3743380,18022032,391320,104091120,0,27,0,27,169995,0
balanced,A_max,,65,1,1,1,12,15,1,1,0,0,0,0,2032560,109,2032560,0,11739600,0,1,0,1,96782,0
balanced,A_max,,66,1,1,1,26,140,2,0,0,0,0,0,18970560,3617434,18970560,391320,109569600,0,30,0,30,155313,0
balanced,A_max,,67,1,1,1,39,137,2,0,0,0,0,0,18564048,3834029,18564048,391320,107221680,0,30,0,30,195428,0
balanced,A_max,,68,1,1,1,28,165,3,0,0,0,0,0,22358160,3949585,22358160,391320,129135600,0,28,0,28,196313,0
balanced,A_max,,69,1,1,1,38,253,4,0,0,0,0,0,34282512,3298622,34282512,391320,198007920,0,28,0,28,202008,0
balanced,A_max,,70,1,1,1,32,349,6,0,0,0,0,0,47290896,3196741,47290896,391320,273141360,0,25,0,25,198383,0
balanced,A_max,,71,1,1,1,18,171,3,0,0,0,0,0,23171184,3978719,23171184,391320,133831440,0,32,0,32,218904,0
balanced,A_max,,72,1,1,1,26,134,2,0,0,0,0,0,18157536,3484742,18157536,391320,104873760,0,29,0,29,243551,0
balanced,A_max,,73,1,1,1,32,118,2,0,0,0,0,0,15989472,916355,15989472,391320,92351520,0,8,0,8,79918,0
balanced,A_max,,74,1,1,1,35,107,2,0,0,0,0,0,14498928,1610076,14498928,391320,83742480,0,10,0,10,60964,0
balanced,A_max,,75,1,1,1,29,133,2,1,0,0,0,0,18022032,3456751,18022032,391320,104091120,0,29,0,29,159644,0
balanced,A_max,,76,1,1,1,44,187,3,0,0,0,0,0,25339248,3508185,25339248,391320,146353680,0,29,0,29,218382,0
balanced,A_max,,77,1,1,1,38,161,3,0,0,0,0,0,21816144,3396683,21816144,391320,126005040,0,27,0,27,169730,0
balanced,A_max,,78,1,1,1,26,194,3,0,0,0,0,0,26287776,3922458,26287776,391320,151832160,0,32,0,32,269014,0
balanced,A_max,,79,1,1,1,24,128,2,0,0,0,0,0,17344512,3674130,17344512,391320,100177920,0,31,0,31,163376,0
balanced,A_max,,80,1,1,1,50,160,3,0,0,0,0,0,21680640,3741029,21680640,391320,125222400,0,30,0,30,144593,0
balanced,A_max,,81,1,1,1,50,179,3,0,0,0,0,0,24255216,3245790,24255216,391320,140092560,0,27,0,27,152508,0
balanced,A_max,,82,1,1,1,25,341,6,0,0,0,0,0,46206864,1177442,46206864,391320,266880240,0,8,0,8,143113,0
balanced,A_max,,83,1,1,1,28,134,2,0,0,0,0,0,18157536,3387877,18157536,391320,104873760,0,29,0,29,186804,0
balanced,A_max,,84,1,1,1,48,169,3,0,0,0,0,0,22900176,3174477,22900176,391320,132266160,0,26,0,26,157904,0
balanced,A_max,,85,1,1,1,32,162,3,0,0,0,0,0,21951648,4173218,21951648,391320,126787680,0,30,0,30,256467,0
