decoder,shot,decoder_seed,syndrome_weight,observed_logical_weight,syndrome_converged,logical_action_match,logically_correct,logical_residual_weight,final_syndrome_residual_weight,iterations,relay_legs,valid_solutions,selected_solution_weight,later_gamma_minimum,later_negative_gamma_count
relay_s1_paper,16,107,152,2,1,1,1,0,0,218,4,1,307.9280148366681,-0.23999662078049516,54441
relay_s1_paper,17,108,164,8,1,1,1,0,0,126,2,1,328.1331205689321,-0.23999970038541305,18052
relay_s1_paper,18,109,186,4,1,1,1,0,0,42,1,1,347.3475566344611,,0
relay_s1_paper,19,110,188,3,1,1,1,0,0,39,1,1,352.4556250660338,,0
relay_s1_paper,20,111,174,5,1,1,1,0,0,38,1,1,308.6340437998472,,0
relay_s1_paper,21,112,183,7,1,1,1,0,0,31,1,1,349.61270131659455,,0
relay_s1_paper,22,113,192,8,1,1,1,0,0,25,1,1,329.28804700131025,,0
relay_s1_paper,23,114,159,9,1,1,1,0,0,166,3,1,318.0880486029098,-0.239997495965806,35915
relay_s1_paper,24,115,153,7,1,1,1,0,0,101,2,1,288.5889328946348,-0.2399898565149287,18290
relay_s1_paper,25,116,147,2,1,1,1,0,0,35,1,1,253.7260247601767,,0
relay_s1_paper,26,117,177,7,1,1,1,0,0,280,5,1,326.04692902803015,-0.2399957624659742,72166
relay_s1_paper,27,118,217,6,1,1,1,0,0,80,1,1,441.64585755629923,,0
relay_s1_paper,28,119,177,7,1,1,1,0,0,158,3,1,382.5978440188475,-0.23999381479465978,36265
relay_s1_paper,29,120,195,6,1,1,1,0,0,57,1,1,371.4667775319766,,0
relay_s1_paper,30,121,215,7,1,1,1,0,0,79,1,1,369.1221316657617,,0
relay_s1_paper,31,122,173,6,1,1,1,0,0,31,1,1,315.4709473059007,,0
relay_s3_paper,0,91,211,8,1,1,1,0,0,554,10,3,436.5507708749758,-0.2399972682181193,162616
relay_s3_paper,1,92,157,6,1,1,1,0,0,397,8,3,337.8585381664646,-0.23999873689369944,126720
relay_s3_paper,2,93,164,8,1,1,1,0,0,175,4,3,325.07420436874384,-0.23999208279881504,54248
relay_s3_paper,3,94,143,6,1,1,1,0,0,1692,29,3,312.35500113353424,-0.23999948734176443,504785
relay_s3_paper,4,95,177,7,1,1,1,0,0,252,6,3,348.95587041055387,-0.23999981432970424,90054
relay_s3_paper,5,96,169,4,1,1,1,0,0,446,9,3,303.13159762813854,-0.2399964126271557,145436
relay_s3_paper,6,97,199,6,1,1,1,0,0,588,11,3,389.5850705286905,-0.2399985044420459,180140
relay_s3_paper,7,98,149,9,1,1,1,0,0,324,6,3,277.9420489558494,-0.2399949586584105,90299
relay_s3_paper,8,99,211,5,1,1,1,0,0,292,6,3,459.99165281404555,-0.23999632110822058,90139
relay_s3_paper,9,100,198,4,1,1,1,0,0,150,3,3,381.6386469176846,-0.2399976768805296,36113
relay_s3_paper,10,101,197,6,1,1,1,0,0,214,5,3,396.75581074698863,-0.23999681295017805,71922
relay_s3_paper,11,102,221,9,1,1,1,0,0,530,10,3,390.75721776485346,-0.23999969325341597,163321
relay_s3_paper,12,103,219,6,1,1,1,0,0,83,3,3,398.1300105243204,-0.23998933215455787,36115
relay_s3_paper,13,104,175,5,1,1,1,0,0,116,3,3,312.93563629966496,-0.23999447669735313,36199
relay_s3_paper,14,105,141,4,1,1,1,0,0,322,7,3,268.737871067219,-0.23999807870244863,108166
relay_s3_paper,15,106,189,8,1,1,1,0,0,453,9,3,411.8108240447655,-0.23999968992991869,144628
relay_s3_paper,16,107,152,2,1,1,1,0,0,567,10,3,307.9280148366681,-0.2399985561511598,162985
relay_s3_paper,17,108,164,8,1,1,1,0,0,224,5,3,311.1373398940902,-0.23999970038541305,72379
relay_s3_paper,18,109,186,4,1,1,1,0,0,796,15,3,347.3475566344611,-0.23999964594698878,253184
relay_s3_paper,19,110,188,3,1,1,1,0,0,113,3,3,352.4556250660338,-0.23999805387037684,36015
relay_s3_paper,20,111,174,5,1,1,1,0,0,197,5,3,308.6340437998472,-0.23999899716124157,72320
relay_s3_paper,21,112,183,7,1,1,1,0,0,111,3,3,349.61270131659455,-0.23999979971080337,36342
relay_s3_paper,22,113,192,8,1,1,1,0,0,162,4,3,329.28804700131025,-0.23999964379140556,54201
relay_s3_paper,23,114,159,9,1,1,1,0,0,458,8,3,308.25442959948504,-0.23999919377345585,125730
relay_s3_paper,24,115,153,7,1,1,1,0,0,284,6,3,288.5889328946348,-0.23999608641788062,90298
relay_s3_paper,25,116,147,2,1,1,1,0,0,235,5,3,253.7260247601767,-0.23999327825322342,71953
relay_s3_paper,26,117,177,7,1,1,1,0,0,373,8,3,326.04692902803015,-0.2399957624659742,126292
relay_s3_paper,27,118,217,6,1,1,1,0,0,255,5,3,415.53959845653884,-0.23999779475389657,72235
relay_s3_paper,28,119,177,7,1,1,1,0,0,190,5,3,374.7753997708982,-0.23999724214074653,72573
relay_s3_paper,29,120,195,6,1,1,1,0,0,245,5,3,371.4667775319766,-0.23999718568511455,72055
relay_s3_paper,30,121,215,7,1,1,1,0,0,407,8,3,369.1221316657617,-0.23999828724267014,126970
relay_s3_paper,31,122,173,6,1,1,1,0,0,178,4,3,315.4709473059007,-0.23999637401563992,54095
independent_ensemble_s3_paper,0,91,211,8,1,1,1,0,0,3492,59,3,464.1344628345252,-0.23999950247427218,1047186
independent_ensemble_s3_paper,1,92,157,6,1,1,1,0,0,300,6,3,337.04934135600365,-0.23999873689369944,90429
independent_ensemble_s3_paper,2,93,164,8,1,1,1,0,0,169,4,3,347.42932201744594,-0.23999208279881504,54248
independent_ensemble_s3_paper,3,94,143,6,1,1,1,0,0,1410,24,3,316.71786697941855,-0.23999948734176443,414574
independent_ensemble_s3_paper,4,95,177,7,1,1,1,0,0,290,6,3,348.95587041055387,-0.23999981432970424,90054
independent_ensemble_s3_paper,5,96,169,4,1,1,1,0,0,131,3,3,303.13159762813854,-0.23999299243568328,36233
independent_ensemble_s3_paper,6,97,199,6,1,1,1,0,0,510,9,3,385.40963625051074,-0.23999617942824042,144213
independent_ensemble_s3_paper,7,98,149,9,1,1,1,0,0,283,5,3,277.9420489558494,-0.2399937473489347,72245
independent_ensemble_s3_paper,8,99,211,5,1,1,1,0,0,13612,228,3,497.071390768176,-0.2399999373319084,4103004
independent_ensemble_s3_paper,9,100,198,4,1,1,1,0,0,217,4,3,387.13162617557873,-0.2399976768805296,54326
independent_ensemble_s3_paper,10,101,197,6,1,1,1,0,0,475,9,3,398.4930012226052,-0.23999681295017805,144115
independent_ensemble_s3_paper,11,102,221,9,1,1,1,0,0,905,16,3,390.75721776485346,-0.23999969325341597,271239
independent_ensemble_s3_paper,12,103,219,6,1,1,1,0,0,652,12,3,398.1300105243204,-0.23999949494986017,198768
independent_ensemble_s3_paper,13,104,175,5,1,1,1,0,0,116,3,3,312.93563629966496,-0.23999447669735313,36199
independent_ensemble_s3_paper,14,105,141,4,1,1,1,0,0,371,7,3,268.737871067219,-0.23999807870244863,108166
independent_ensemble_s3_paper,15,106,189,8,1,1,1,0,0,361,7,3,399.42092561385016,-0.23999968992991869,108399
independent_ensemble_s3_paper,16,107,152,2,1,1,1,0,0,418,8,3,304.5928444157122,-0.23999662078049516,126655
independent_ensemble_s3_paper,17,108,164,8,1,1,1,0,0,479,9,3,341.8862112726042,-0.23999970038541305,144843
independent_ensemble_s3_paper,18,109,186,4,1,1,1,0,0,2142,36,3,347.3475566344611,-0.23999996575002983,632935
