configuration,b,M,shot,syndrome_converged,logically_correct,logical_classification_agrees_with_float,decision_agrees_with_float,decision_hamming_distance,iterations,relay_legs,iterations_agree_with_float,legs_agree_with_float,selected_solution_weight,saturation_physical_prior,saturation_lambda_bias,saturation_check_messages,saturation_guard_accumulator,saturation_variable_messages,saturation_marginals
balanced,8,4,74,1,1,1,0,26,42,1,0,1,438.8387048398205,0,0,0,0,12526649,2168765
balanced,8,4,75,1,1,1,0,17,109,2,0,1,394.903463025766,0,0,0,0,34962159,6042535
balanced,8,4,76,1,1,1,0,17,29,1,0,1,386.6004632550951,0,0,0,0,7120893,1241700
balanced,8,4,77,1,1,1,0,18,39,1,0,1,341.35240873970747,0,0,0,0,11702917,2027488
balanced,8,4,78,1,1,1,0,32,480,8,0,0,316.72076497139153,0,0,0,0,157773615,27200856
balanced,8,4,79,1,1,1,0,26,47,1,0,1,303.32468129049903,0,0,0,0,15069873,2603393
balanced,8,4,80,1,1,1,0,18,20,1,0,1,384.1977355660755,0,0,0,0,4382302,765286
balanced,8,4,81,1,1,1,0,18,28,1,0,1,378.978317567707,0,0,0,0,7232159,1257285
balanced,8,4,82,1,1,1,0,12,35,1,0,1,314.07108307873284,0,0,0,0,10557156,1830938
balanced,8,4,83,1,1,1,0,17,22,1,0,1,404.13317694081593,0,0,0,0,4804364,841986
balanced,8,4,84,1,1,1,0,23,46,1,0,1,415.59369971343506,0,0,0,0,13481450,2335963
balanced,8,4,85,1,1,1,0,17,19,1,0,1,214.33441560825503,0,0,0,0,5038013,877812
balanced,8,4,86,1,1,1,0,16,35,1,0,1,315.43982862278983,0,0,0,0,10079107,1743518
balanced,8,4,87,1,1,1,0,17,37,1,0,0,303.125243753404,0,0,0,0,11064285,1916954
balanced,8,4,88,1,1,1,0,23,28,1,0,1,340.3919498461496,0,0,0,0,7533339,1307406
balanced,8,4,89,1,1,1,0,33,106,2,0,0,381.7657252312562,0,0,0,0,33414020,5783309
balanced,8,4,90,1,1,1,0,20,21,1,0,1,304.36271079121286,0,0,0,0,4829303,845811
balanced,8,4,91,1,1,1,0,47,231,4,0,0,508.78747840320625,0,0,0,0,67220537,11694828
balanced,8,4,92,1,1,1,0,20,41,1,0,1,322.7155043235801,0,0,0,0,12545092,2175090
balanced,8,4,93,1,1,1,0,22,21,1,0,1,330.4522182724087,0,0,0,0,5185600,900673
balanced,8,4,94,1,1,1,0,30,31,1,0,1,344.76009683693974,0,0,0,0,8093712,1408852
balanced,8,4,95,1,1,1,0,12,17,1,0,1,348.3839892393951,0,0,0,0,3721383,650316
balanced,8,4,96,1,1,1,0,31,123,2,0,0,338.8704284443923,0,0,0,0,40631624,7012080
balanced,8,4,97,1,1,1,0,55,33,1,0,0,466.1886615022887,0,0,0,0,9605782,1660607
