configuration,b,M,guard_bits,sample_seed,shot,syndrome_converged,logical_action_match,logically_correct,syndrome_valid_logical_error,non_convergence,float_logically_correct,iterations,float_iterations,relay_legs,float_relay_legs,selected_solution_weight,float_selected_solution_weight,prior_clipping,lambda_saturation,check_message_saturation,variable_message_saturation,marginal_saturation,accumulator_saturation,stored_operation_count,marginal_operation_count
balanced,14,16,4,20260809,71,1,1,1,0,0,1,24,19,1,1,228.5749587491972,253.9745954435926,0,0,0,404639,80036,0,22103208,1626048
balanced,14,16,4,20260809,72,1,1,1,0,0,1,22,30,1,1,370.64213244020436,345.2601536845826,0,0,0,22,11,0,20266920,1490544
balanced,14,16,4,20260809,73,1,1,1,0,0,1,40,16,1,1,271.09474733407797,272.94166483059627,0,0,0,2964975,518539,0,36793512,2710080
balanced,14,16,4,20260809,74,1,1,1,0,0,1,42,30,1,1,438.8387048398205,393.94997139003056,0,0,0,1075923,206008,0,38629800,2845584
balanced,14,16,4,20260809,75,1,1,1,0,0,1,97,104,2,2,384.38370623794793,379.9423287006333,0,0,0,18668063,3093989,0,89127720,6571944
balanced,14,16,4,20260809,76,1,1,1,0,0,1,29,30,1,1,386.6004632550951,386.90030226549425,0,0,0,69853,15129,0,26693928,1964808
balanced,14,16,4,20260809,77,1,1,1,0,0,1,39,27,1,1,341.35240873970747,335.72277966329,0,0,0,4216419,721364,0,35875368,2642328
balanced,14,16,4,20260809,78,1,1,1,0,0,1,113,120,2,2,304.8689884630296,334.84901268840355,0,0,0,20622495,3415515,0,103818024,7655976
balanced,14,16,4,20260809,79,1,1,1,0,0,1,47,16,1,1,303.32468129049903,273.0699800584164,0,0,0,8027466,1343087,0,43220520,3184344
balanced,14,16,4,20260809,80,1,1,1,0,0,1,20,29,1,1,384.1977355660755,390.7174692338731,0,0,0,36,36,0,18430632,1355040
balanced,14,16,4,20260809,81,1,1,1,0,0,1,28,20,1,1,378.978317567707,363.0386420998793,0,0,0,272278,56632,0,25775784,1897056
balanced,14,16,4,20260809,82,1,1,1,0,0,1,35,30,1,1,314.07108307873284,303.2887316188873,0,0,0,1624069,305201,0,32202792,2371320
balanced,14,16,4,20260809,83,1,1,1,0,0,1,22,34,1,1,404.13317694081593,363.06592510765,0,0,0,719,195,0,20266920,1490544
balanced,14,16,4,20260809,84,1,1,1,0,0,1,46,27,1,1,415.59369971343506,357.15246147857147,0,0,0,4886468,838187,0,42302376,3116592
balanced,14,16,4,20260809,85,1,1,1,0,0,1,19,29,1,1,214.33441560825503,257.4272679986892,0,0,0,3504,882,0,17512488,1287288
balanced,14,16,4,20260809,86,1,1,1,0,0,1,35,50,1,1,315.43982862278983,338.1824667100422,0,0,0,3508115,607730,0,32202792,2371320
balanced,14,16,4,20260809,87,1,1,1,0,0,1,37,162,1,3,303.125243753404,322.8378844463758,0,0,0,2471122,434735,0,34039080,2506824
balanced,14,16,4,20260809,88,1,1,1,0,0,1,28,42,1,1,340.3919498461496,377.6572523052703,0,0,0,1316854,238864,0,25775784,1897056
