original_edge_id,metis_locality_partition,BA1_residue,BA2_residue,BA3_residue
546,0,3,3,0
547,0,0,0,0
548,0,1,1,0
549,1,2,2,1
550,1,1,1,1
551,0,2,2,0
552,0,3,3,0
553,1,2,2,1
554,1,3,3,1
555,1,0,0,1
556,0,0,0,0
557,0,1,1,0
558,0,2,2,0
559,0,3,3,0
560,0,0,0,0
561,1,1,1,3
562,1,1,1,0
563,1,2,2,2
564,1,2,2,2
565,1,3,3,3
566,1,0,0,2
567,1,1,1,3
568,1,3,3,3
569,1,0,0,0
570,1,1,1,2
571,1,2,2,3
572,1,3,3,0
573,1,2,2,1
574,1,0,0,1
575,1,3,3,1
576,1,0,0,1
577,1,1,1,1
578,1,1,1,1
579,0,2,2,0
580,1,3,3,1
581,1,0,0,1
582,1,1,1,1
583,1,2,2,1
584,0,2,2,0
585,0,3,3,0
586,0,0,0,0
587,0,1,1,0
588,0,2,2,0
589,0,3,3,0
590,0,0,0,0
591,0,1,1,0
592,0,2,2,0
593,0,3,3,0
594,0,0,0,0
595,0,1,1,0
596,0,2,2,0
597,0,3,3,0
598,0,0,0,0
599,1,3,3,1
600,1,0,0,1
601,0,1,1,0
602,0,2,2,0
603,0,3,3,0
604,0,0,0,0
605,0,1,1,0
606,1,3,3,1
607,1,1,1,1
608,0,2,2,0
609,0,3,3,0
610,1,2,2,1
611,1,3,3,1
612,1,0,0,3
613,1,2,2,2
614,0,1,1,2
615,1,2,2,2
616,1,3,3,3
617,1,0,0,2
618,1,1,1,3
619,1,2,2,2
620,1,3,3,3
621,1,0,0,3
622,1,1,1,2
623,1,1,1,0
624,1,3,3,1
625,1,0,0,1
626,1,1,1,1
627,1,2,2,1
628,1,0,0,1
629,1,2,2,1
630,1,3,3,1
631,1,3,3,1
632,1,0,0,1
633,1,0,0,1
634,0,1,1,0
635,1,2,2,1
636,1,3,3,1
637,1,0,0,1
638,1,1,1,1
639,0,1,1,0
640,0,2,2,0
641,0,3,3,0
642,0,0,0,0
643,0,1,1,0
644,1,2,2,1
645,0,2,2,0
646,0,3,3,0
647,0,0,0,0
648,0,1,1,0
649,0,2,2,0
650,0,3,3,0
651,1,0,0,1
652,1,3,3,1
653,0,0,0,0
654,1,0,0,1
655,0,1,1,0
656,1,1,1,1
657,1,2,2,1
658,0,2,2,0
659,0,3,3,0
660,0,0,0,0
661,0,1,1,0
662,0,2,2,0
663,1,1,1,2
664,1,3,3,2
665,1,0,0,3
666,1,1,1,3
667,0,2,2,2
668,1,3,3,3
669,1,3,3,3
670,1,0,0,2
671,1,1,1,3
672,1,2,2,2
673,1,0,0,3
674,1,0,0,0
675,1,2,2,2
676,1,3,3,3
677,1,0,0,1
678,1,1,1,1
679,1,3,3,1
680,1,1,1,1
681,1,2,2,1
682,1,2,2,1
683,1,3,3,1
684,1,3,3,1
685,0,0,0,0
686,1,1,1,1
687,1,2,2,1
688,1,3,3,1
689,1,0,0,1
690,1,1,1,1
691,0,0,0,0
692,0,1,1,0
693,0,2,2,0
694,0,3,3,0
695,0,0,0,0
696,0,1,1,0
697,0,2,2,0
698,0,3,3,0
699,0,0,0,0
700,0,1,1,0
701,0,2,2,0
702,1,1,1,1
703,1,2,2,1
704,0,3,3,0
705,1,3,3,1
706,0,0,0,0
707,1,0,0,1
708,1,1,1,1
709,0,1,1,0
710,0,2,2,0
711,0,3,3,0
712,0,0,0,0
713,0,1,1,0
714,1,0,0,0
715,1,2,2,3
716,0,3,3,2
717,1,0,0,2
718,1,1,1,3
719,1,2,2,2
720,1,2,2,2
721,1,3,3,3
722,1,0,0,2
723,1,1,1,3
724,1,3,3,2
725,1,3,3,3
726,1,1,1,0
