original_fault_id,metis_locality_partition,BA1_residue,BA2_residue,BA3_residue
505,1,1,1,1
506,1,2,0,2
507,0,2,0,0
508,1,0,1,1
509,1,1,2,3
510,1,3,3,2
511,1,2,2,1
512,0,1,1,0
513,0,2,2,3
514,0,0,0,1
515,0,1,1,2
516,0,3,3,0
517,0,2,2,2
518,0,0,0,1
519,0,3,1,0
520,0,1,3,3
521,0,2,2,2
522,0,0,0,0
523,0,2,2,1
524,0,1,1,0
525,0,0,0,3
526,0,3,3,2
527,1,2,2,1
528,1,2,0,3
529,0,1,1,2
530,0,3,3,0
531,0,2,2,1
532,0,0,0,3
533,0,3,2,2
534,1,2,3,1
535,1,3,2,1
536,0,0,0,3
537,0,1,3,0
538,1,2,2,2
539,1,0,1,1
540,1,1,3,1
541,1,0,0,0
542,1,2,1,1
543,1,3,0,3
544,1,0,0,1
545,1,1,1,3
546,1,3,3,1
547,1,0,2,0
548,1,1,1,2
549,1,0,0,3
550,0,2,2,0
551,1,3,3,1
552,1,0,0,3
553,1,1,1,1
554,1,3,2,1
555,0,2,3,0
556,0,1,1,1
557,0,0,2,0
558,0,2,0,3
559,0,3,3,2
560,1,1,1,1
561,0,0,0,0
562,0,3,3,2
563,0,2,2,3
564,0,1,1,1
565,0,3,3,0
566,0,0,0,2
567,1,2,2,3
568,1,3,3,1
569,0,0,0,0
570,1,1,1,2
571,0,2,2,3
572,1,0,0,1
573,1,2,2,1
574,0,1,1,3
575,0,3,3,0
576,0,0,0,0
577,0,2,2,1
578,0,1,3,3
579,1,2,2,1
580,1,3,1,3
581,1,3,0,1
582,1,0,1,3
583,1,1,3,2
584,1,2,2,1
585,1,2,1,1
586,1,3,3,2
587,0,0,2,0
588,1,1,3,1
589,1,3,0,3
590,1,2,1,2
591,1,0,3,0
592,1,2,2,3
593,0,1,1,1
594,0,2,0,2
595,0,3,3,0
596,0,0,2,3
597,0,2,1,0
598,0,2,3,1
599,0,0,0,3
600,0,1,1,0
601,0,2,2,2
602,0,3,3,1
603,0,0,0,3
604,1,1,1,0
605,1,3,3,1
606,0,2,0,0
607,1,1,3,1
608,0,0,1,3
609,1,3,0,1
610,1,2,3,1
611,0,1,1,1
612,0,3,2,0
613,0,0,0,2
614,0,2,3,0
615,0,1,1,1
616,1,1,0,1
617,1,0,3,0
618,1,2,0,1
619,1,3,1,3
620,1,1,2,1
621,1,0,3,0
622,1,3,1,2
623,1,2,2,3
624,0,0,3,0
625,1,1,0,1
626,1,3,1,3
627,1,2,2,2
628,1,1,1,1
629,0,2,2,0
630,0,0,0,2
631,0,3,3,3
632,0,1,1,1
633,0,2,2,0
634,0,3,0,2
635,1,0,1,2
636,0,2,2,1
637,0,3,3,0
638,0,1,1,3
639,0,0,0,2
640,0,2,2,3
641,1,3,3,2
642,1,0,0,1
643,0,2,2,0
644,1,1,1,1
645,0,3,3,3
646,1,0,0,1
647,1,2,2,2
648,0,3,0,3
649,0,1,1,0
650,0,2,3,1
651,0,0,2,2
652,0,1,1,0
653,1,2,2,3
654,1,3,1,1
655,1,2,3,2
656,1,3,0,1
657,1,0,0,1
658,1,3,1,3
659,1,2,3,2
660,1,0,0,1
661,0,1,2,0
662,1,2,0,1
663,1,3,3,3
664,1,1,1,2
665,1,2,2,0
666,0,0,1,1
667,0,1,0,3
668,0,0,3,0
669,0,2,2,2
670,0,1,0,3
671,1,3,1,1
672,0,3,3,0
673,0,2,2,2
674,0,1,1,3
675,0,0,0,1
676,0,3,3,0
677,0,2,2,2
678,1,0,0,1
679,1,2,2,1
680,0,3,3,0
681,1,1,0,3
682,0,2,1,2
683,1,3,3,1
684,1,1,3,3
685,0,0,0,1
686,0,2,2,0
687,0,0,0,2
688,0,1,1,3
689,0,3,3,0
690,1,0,0,0
691,1,1,3,1
692,1,0,3,3
693,1,1,1,1
694,1,1,0,1
695,1,3,2,2
696,1,0,1,0
697,1,1,3,1
698,1,2,2,2
699,1,3,0,1
700,0,2,2,0
701,1,1,1,3
702,0,3,3,1
703,0,0,0,2
704,0,1,1,1
705,0,3,2,0
706,0,0,0,3
707,0,2,3,2
708,0,1,1,0
709,0,0,0,0
710,0,3,3,2
711,0,2,2,1
712,0,1,1,0
713,0,0,0,3
714,0,3,3,2
715,1,2,2,1
716,0,3,0,0
717,0,0,3,3
718,0,1,1,0
719,0,2,2,1
720,0,3,0,2
721,0,2,2,3
722,0,1,1,2
723,0,3,0,0
724,0,0,3,2
725,0,1,1,3
726,0,2,2,0
727,1,2,0,2
728,1,3,2,1
729,0,1,1,0
730,1,3,3,1
731,1,2,2,2
732,1,3,1,1
733,1,1,1,2
734,0,0,0,1
735,0,2,3,0
736,0,1,2,3
737,0,0,1,0
738,0,2,1,0
739,0,3,0,2
740,0,1,3,3
741,0,2,1,0
742,0,0,2,1
743,0,3,0,2
744,0,1,1,0
745,0,2,2,1
746,0,0,0,3
747,0,3,3,2
748,0,1,1,0
749,0,2,2,1
750,0,0,1,0
751,0,3,3,2
752,0,2,2,0
753,0,1,1,1
754,0,0,0,3
755,0,3,3,2
756,1,0,2,1
757,0,3,0,1
758,0,1,1,0
759,0,2,0,2
760,0,0,3,3
761,0,1,2,0
762,1,3,3,0
763,1,2,2,1
764,1,1,0,3
765,1,2,3,1
766,0,0,2,0
767,1,2,1,1
768,1,3,0,3
769,1,1,3,0
770,1,0,1,3
771,1,2,3,1
772,1,3,2,2
773,0,0,0,3
774,0,1,1,0
775,0,2,2,2
776,0,0,1,0
777,0,3,3,1
778,0,2,2,0
779,0,1,0,2
780,0,0,0,3
781,0,2,3,0
782,0,1,1,2
783,0,3,3,3
784,0,2,2,0
785,0,1,1,2
786,0,0,0,1
787,0,3,3,0
788,1,2,2,1
789,0,0,0,1
790,0,1,1,0
791,0,3,3,2
792,0,2,2,3
793,0,3,0,0
794,0,0,1,0
795,0,3,3,3
796,0,0,0,0
797,0,2,2,1
798,0,1,1,2
799,0,0,3,3
800,1,0,0,3
801,1,2,2,1
802,0,0,3,2
803,1,3,0,1
804,1,1,1,3
805,1,2,2,0
806,1,0,3,2
807,1,3,0,1
808,0,2,2,0
809,0,3,3,1
810,0,0,0,2
811,1,1,1,1
812,0,1,1,3
813,0,0,0,2
814,0,1,3,0
815,0,2,2,1
816,0,3,0,3
817,0,0,2,2
818,0,2,2,1
819,0,1,1,3
820,0,3,3,0
821,0,2,2,1
822,0,0,0,2
823,0,1,1,0
824,1,2,2,1
825,0,3,0,0
826,0,1,1,3
827,0,0,3,2
828,0,2,2,0
829,0,1,0,1
830,0,0,3,0
831,0,3,1,2
832,0,1,0,3
833,0,0,3,0
834,0,2,2,1
835,0,3,1,2
836,1,1,3,0
837,1,3,3,3
838,1,3,2,0
839,1,0,0,2
840,0,2,1,1
841,1,1,3,3
842,1,0,0,1
843,1,2,1,2
844,0,3,2,0
845,0,1,1,2
846,0,2,0,1
847,1,0,2,3
848,0,3,3,1
849,0,2,2,3
850,0,0,0,0
851,0,3,3,1
852,0,1,1,2
853,0,0,2,0
854,0,2,3,3
855,0,3,0,1
856,0,1,1,2
857,0,0,2,0
858,0,2,3,1
859,0,3,0,3
860,1,2,3,1
861,0,0,2,0
862,0,1,0,3
863,0,3,1,2
