sample_seed,shot,trajectory,shot_class,relay_leg,starting_residual,minimum_residual,ending_residual,iterations_used,net_residual_improvement,best_residual_improvement,converged,improved_previous_global_best,classification,residual_increases,equal_residual_iterations,decision_changes,longest_no_improvement_at_end,mean_belief_abs,mean_close_fraction
20260810,9,E0,severe_success,3,24,6,9,60,15,18,0,1,productive,22,3,19308,63,175.25635471141842,0.0005832546148699177
20260810,9,E0,severe_success,4,9,7,17,60,-8,2,0,0,regressive,20,5,23518,86,161.46277429436944,0.0006464753808005668
20260810,9,E0,severe_success,5,17,0,0,31,17,17,1,1,productive,9,2,12478,116,188.20033372504696,0.00044183911723591544
20260810,9,E1,severe_success,1,213,51,62,80,151,162,0,1,productive,34,5,16939,41,332.63141581511815,0.0006619730782855118
20260810,9,E1,severe_success,2,62,16,218,60,-156,46,0,1,regressive,25,5,26043,48,169.99067683699923,0.0007293757625851142
20260810,9,E1,severe_success,3,218,4,8,60,210,214,0,1,productive,22,7,11248,48,141.7770330136722,0.000648197347187783
20260810,9,E1,severe_success,4,8,10,11,60,-3,-2,0,0,regressive,24,2,17756,63,135.96601089042733,0.0005463553351438582
20260810,9,E1,severe_success,5,11,11,30,60,-19,0,0,0,regressive,24,2,17553,123,135.1702976642241,0.000609576101074507
20260810,9,E1,severe_success,6,30,6,16,60,14,24,0,0,productive,25,2,10458,183,159.22850325836774,0.0004747707324753021
20260810,9,E1,severe_success,7,16,0,0,35,16,16,1,1,productive,10,2,13093,209,174.7251343142545,0.00041959752374205083
20260809,18,E0,severe_rescue,1,232,2,10,80,222,230,0,1,productive,30,6,5252,21,1199.4105774452225,0.00028209499350572673
20260809,18,E0,severe_rescue,2,10,4,7,60,3,6,0,0,productive,21,3,61411,81,265.3951666525922,0.000862705159995277
20260809,18,E0,severe_rescue,3,7,0,0,47,7,7,1,1,productive,17,4,18990,126,121.64803327762904,0.0006450308132538444
20260809,18,E1,severe_rescue,1,232,2,10,80,222,230,0,1,productive,30,6,5252,21,1199.4105774452225,0.00028209499350572673
20260809,18,E1,severe_rescue,2,10,10,22,60,-12,0,0,0,regressive,21,1,59843,81,239.17238848685287,0.0009010804109103791
20260809,18,E1,severe_rescue,3,22,3,32,60,-10,19,0,0,regressive,23,2,16123,141,146.0228355301415,0.0007094501515330422
20260809,18,E1,severe_rescue,4,32,6,15,60,17,26,0,0,productive,24,7,15295,201,162.01507737695658,0.0006841126461211478
20260809,18,E1,severe_rescue,5,15,2,29,60,-14,13,0,0,regressive,24,2,20101,261,140.93012167735776,0.0005699708741685362
20260809,18,E1,severe_rescue,6,29,3,8,60,21,26,0,0,productive,25,3,11280,321,169.99741286395232,0.0003303715511473216
20260809,18,E1,severe_rescue,7,8,5,5,60,3,3,0,0,productive,25,6,18923,381,160.42621925194516,0.0004959263195182431
20260809,18,E1,severe_rescue,8,5,4,20,60,-15,1,0,0,regressive,22,3,30590,441,145.80861564296174,0.0006750108237887196
20260809,18,E1,severe_rescue,9,20,0,0,50,20,20,1,1,productive,16,3,18899,456,168.40057146736714,0.0006576927618372891
20260810,26,E0,severe_rescue,1,233,0,0,46,233,233,1,1,productive,13,9,4211,10,642.3352069865413,0.0004322028677478478
20260810,26,E1,severe_rescue,1,233,0,0,46,233,233,1,1,productive,13,9,4211,10,642.3352069865413,0.0004322028677478478
20260811,26,E0,severe_rescue,1,130,3,3,80,127,127,0,1,productive,28,12,2079,38,368138.8552632431,0.0001311769394261424
20260811,26,E0,severe_rescue,2,3,2,2,60,1,1,0,1,productive,21,5,115522,97,45884.34898218731,0.0017790372731924275
20260811,26,E0,severe_rescue,3,2,1,392,60,-390,1,0,1,regressive,30,11,29888,97,259.4751750803024,0.000628763726532058
20260811,26,E0,severe_rescue,4,392,6,278,60,114,386,0,0,productive,30,0,12479,101,168.35449248818844,0.0005254457432990908
20260811,26,E0,severe_rescue,5,278,2,17,60,261,276,0,0,productive,18,7,19464,161,189.45743487828764,0.0006996103436060928
20260811,26,E0,severe_rescue,6,17,0,0,32,17,17,1,1,productive,8,3,12472,192,184.76204240761837,0.0003583842543393553
20260811,26,E1,severe_rescue,1,130,3,3,80,127,127,0,1,productive,28,12,2079,38,368138.8552632431,0.0001311769394261424
20260811,26,E1,severe_rescue,2,3,3,14,60,-11,0,0,0,regressive,24,3,119252,98,45717.575853204224,0.0017987168890463258
20260811,26,E1,severe_rescue,3,14,1,243,60,-229,13,0,1,regressive,23,8,25973,109,231.5863191815683,0.0008403195969614672
20260811,26,E1,severe_rescue,4,243,2,110,60,133,241,0,0,productive,27,5,13308,109,196.81532107205646,0.0006858346125083639
20260811,26,E1,severe_rescue,5,110,1,149,60,-39,109,0,0,regressive,26,6,18543,165,195.23697941658105,0.0006912465068681858
20260811,26,E1,severe_rescue,6,149,2,22,60,127,147,0,0,productive,25,3,15284,225,177.70597458509627,0.0006221218561813673
20260811,26,E1,severe_rescue,7,22,5,260,60,-238,17,0,0,regressive,26,5,20105,285,182.15966464624748,0.0007953024756956744
20260811,26,E1,severe_rescue,8,260,4,182,60,78,256,0,0,productive,26,5,19328,345,173.57864134364928,0.0007908745621285473
20260811,26,E1,severe_rescue,9,182,1,8,60,174,181,0,0,productive,25,8,9317,405,238.30343887834903,0.0005069961034360609
20260811,26,E1,severe_rescue,10,8,1,172,60,-164,7,0,0,regressive,27,6,27223,465,196.35391209535953,0.0005264297240917857
20260811,26,E1,severe_rescue,11,172,2,171,60,1,170,0,0,productive,29,2,23484,525,236.63016508307592,0.0008270358562600857
20260811,26,E1,severe_rescue,12,171,4,21,60,150,167,0,0,productive,26,1,17647,585,172.60328385970382,0.0009094442476482859
20260811,26,E1,severe_rescue,13,21,1,147,60,-126,20,0,0,regressive,27,4,14037,645,190.730512648534,0.0007748848742472547
20260811,26,E1,severe_rescue,14,147,5,21,60,126,142,0,0,productive,24,5,12356,705,163.09713462494219,0.0006415554768370922
20260811,26,E1,severe_rescue,15,21,6,11,60,10,15,0,0,productive,24,4,20455,765,187.6474873675294,0.0005958003699767781
20260811,26,E1,severe_rescue,16,11,5,18,60,-7,6,0,0,regressive,24,3,25873,825,157.61715425281142,0.0005470933207383792
20260811,26,E1,severe_rescue,17,18,4,6,60,12,14,0,0,productive,22,7,15820,885,153.51951874988927,0.00037957059078206793
20260811,26,E1,severe_rescue,18,6,1,1,60,5,5,0,0,productive,23,5,23220,945,210.05414730137804,0.0005352855512260402
20260811,26,E1,severe_rescue,19,1,1,8,60,-7,0,0,0,regressive,21,5,20477,1005,191.48358449755904,0.0005138839689849254
20260811,26,E1,severe_rescue,20,8,1,6,60,2,7,0,0,productive,22,5,13683,1065,174.59727076476284,0.0005515212343055064
20260811,26,E1,severe_rescue,21,6,0,0,43,6,6,1,1,productive,17,7,20176,1107,210.32407149528757,0.0006937064588499234
