configuration,b,M,guard_bits,shot,syndrome_converged,logically_correct,decision_agrees_with_float,decision_hamming_distance,iterations,relay_legs,iterations_agree_with_float,legs_agree_with_float,selected_solution_weight,saturation_physical_prior,saturation_lambda_bias,saturation_check_messages,saturation_guard_accumulator,saturation_variable_messages,saturation_marginals
balanced,4,4,4,93,1,1,0,15,48,1,0,1,317.55987354508045,50040,0,0,0,18647070,3231312
balanced,4,4,4,94,1,1,0,67,171,3,0,0,436.63286322877275,50040,0,0,0,66118201,11458173
balanced,4,4,4,95,1,1,0,12,58,1,0,1,356.1902865183497,50040,0,0,0,22535018,3904294
balanced,4,4,4,96,1,1,0,31,99,2,0,0,356.73135325592716,50040,0,0,0,38428867,6659426
balanced,4,4,4,97,1,1,0,40,50,1,0,0,376.80745774136676,50040,0,0,0,19402980,3361770
balanced,4,4,4,98,1,1,0,19,29,1,0,1,327.66909582077733,50040,0,0,0,11163658,1935559
balanced,4,4,4,99,1,1,0,28,76,1,0,1,341.19722908193523,50040,0,0,0,29471053,5108283
balanced,4,4,4,100,1,1,0,58,43,1,0,0,395.4095338946165,50040,0,0,0,16625066,2881550
balanced,4,4,4,101,1,1,0,16,59,1,0,1,337.7370966939636,50040,0,0,0,22862359,3961126
balanced,4,4,4,102,1,1,0,27,248,4,0,0,261.8704166278958,50040,0,0,0,96682144,16748904
balanced,4,4,4,103,1,1,0,52,775,13,0,0,420.1355586047747,50040,0,0,0,298901640,51812134
balanced,4,4,4,104,1,1,0,13,31,1,0,1,279.74869690746425,50040,0,0,0,11965398,2074395
balanced,4,4,4,105,1,1,0,47,200,3,0,0,437.9537231597102,50040,0,0,0,77456653,13420849
balanced,4,4,4,106,1,1,0,29,20,1,0,1,341.56198106928434,50040,0,0,0,7640055,1326084
balanced,4,4,4,107,1,1,0,40,126,2,0,1,344.94210218446966,50040,0,0,0,48991947,8488988
balanced,4,4,4,108,1,1,0,48,366,6,0,0,367.73284830689863,50040,0,0,0,141647791,24549363
balanced,4,4,4,109,1,1,0,32,36,1,0,1,395.8603823272656,50040,0,0,0,13763068,2387240
balanced,4,4,4,110,1,1,0,29,43,1,0,1,450.87074562755754,50040,0,0,0,16408427,2845252
balanced,4,4,4,111,1,1,0,50,199,3,0,0,390.56969202981185,50040,0,0,0,76814983,13315693
balanced,4,4,4,112,1,1,0,27,33,1,0,1,350.18680762544875,50040,0,0,0,12672696,2197276
balanced,4,4,4,113,1,1,0,14,36,1,0,1,296.19970400883005,50040,0,0,0,13947201,2417395
balanced,4,4,4,114,1,1,0,44,434,7,0,0,366.4087512701482,50040,0,0,0,168473129,29192651
balanced,4,4,4,115,1,1,0,14,52,1,0,1,293.4810215125387,50040,0,0,0,20198144,3500381
balanced,4,4,4,116,1,1,0,15,43,1,0,1,339.28796764232993,50040,0,0,0,16524280,2865247
balanced,4,4,4,117,1,1,0,37,34,1,0,0,408.38187347348486,50040,0,0,0,13080483,2267499
balanced,4,4,4,118,1,1,0,27,348,6,0,0,364.90281598016315,50040,0,0,0,134944731,23382011
balanced,4,4,4,119,1,1,0,26,28,1,1,1,341.913140110399,50040,0,0,0,10817181,1875064
balanced,4,4,4,120,1,1,0,21,65,1,0,1,293.9121925104587,50040,0,0,0,25202742,4368117
balanced,4,4,4,121,1,1,0,59,670,11,0,0,521.2084997062298,50040,0,0,0,258308057,44773259
balanced,4,4,4,122,1,1,0,11,22,1,0,1,280.9035904528734,50040,0,0,0,8476239,1469463
balanced,4,4,4,123,1,1,0,37,111,2,0,0,436.23315781302836,50040,0,0,0,42935725,7442599
balanced,4,4,4,124,1,1,0,33,63,1,0,0,326.01631992925104,50040,0,0,0,24466866,4239462
balanced,4,4,4,125,1,1,0,10,19,1,0,1,355.5748669642754,50040,0,0,0,7229310,1254075
balanced,4,4,4,126,1,1,0,38,113,2,0,0,395.65807171562045,50040,0,0,0,43780170,7586827
balanced,4,4,4,127,1,1,0,45,174,3,0,0,404.8655112307339,50040,0,0,0,67263485,11656452
balanced,4,8,4,0,1,1,0,40,43,1,0,1,347.9150630634426,50040,0,0,0,16680085,2890234
balanced,4,8,4,1,1,1,0,28,129,2,0,0,317.6100774769198,50040,437,0,0,50160909,8691150
balanced,4,8,4,2,1,1,0,55,771,13,0,0,443.4920377957519,50040,7069,0,0,297963894,51641429
balanced,4,8,4,3,1,1,0,27,31,1,0,1,345.0308506622325,50040,0,0,0,11912885,2065526
balanced,4,8,4,4,1,1,0,21,39,1,0,1,401.2789550222128,50040,0,0,0,15076716,2613952
balanced,4,8,4,5,1,1,0,20,55,1,0,1,281.22323801696393,50040,0,0,0,21296675,3691714
balanced,4,8,4,6,1,1,0,23,47,1,0,1,277.32868733976784,50040,0,0,0,18172505,3149257
balanced,4,8,4,7,1,1,0,17,53,1,0,0,357.58444538718425,50040,0,0,0,20530852,3558115
balanced,4,8,4,8,1,1,0,28,40,1,0,1,337.91474896147224,50040,0,0,0,15409479,2671345
balanced,4,8,4,9,1,1,0,46,477,8,0,0,369.9407706668563,50040,4441,0,0,184266758,31937406
balanced,4,8,4,10,1,1,0,29,45,1,0,1,310.1954671403435,50040,0,0,0,17429280,3020753
balanced,4,8,4,11,1,1,0,26,39,1,0,1,367.16221938306523,50040,0,0,0,15020193,2604472
balanced,4,8,4,12,1,1,0,54,355,6,0,0,429.0772356128166,50040,3754,0,0,136790835,23707840
balanced,4,8,4,13,1,1,0,54,59,1,0,0,382.5210618829308,50040,0,0,0,22696720,3934979
balanced,4,8,4,14,1,1,0,26,63,1,0,1,366.8182851982964,50040,0,0,0,24346798,4220941
balanced,4,8,4,15,1,1,0,42,726,12,0,0,364.7276812357449,50040,5486,0,0,281764820,48823324
balanced,4,8,4,16,1,1,0,35,133,2,0,0,420.8566468493342,50040,752,0,0,51354467,8902237
balanced,4,8,4,17,1,1,0,31,48,1,0,1,334.43612897020785,50040,0,0,0,18572528,3218982
balanced,4,8,4,18,0,0,0,62,980,16,0,0,,50040,12543,0,0,377410907,65413868
balanced,4,8,4,19,1,1,0,33,224,4,0,0,374.35288126000046,50040,1257,0,0,86893157,15059579
balanced,4,8,4,20,1,1,0,18,42,1,0,1,345.6020450853315,50040,0,0,0,16308050,2826868
balanced,4,8,4,21,1,1,0,12,22,1,0,1,272.4256620164426,50040,0,0,0,8504864,1474914
balanced,4,8,4,22,1,1,0,28,48,1,0,1,336.4511945884451,50040,0,0,0,18551091,3216417
balanced,4,8,4,23,1,1,0,27,114,2,0,0,398.3640896515025,50040,456,0,0,44126030,7646649
balanced,4,8,4,24,1,1,0,45,556,9,0,0,332.81274011161116,50040,2666,0,0,216345325,37485257
balanced,4,8,4,25,1,1,0,18,66,1,0,1,243.4662373396719,50040,0,0,0,25704168,4453442
balanced,4,8,4,26,1,1,0,26,48,1,0,1,315.2209749471301,50040,0,0,0,18589779,3222636
balanced,4,8,4,27,1,1,0,26,45,1,0,1,312.32310142598703,50040,0,0,0,17454942,3024916
balanced,4,8,4,28,1,1,0,35,224,4,0,1,361.89342712008806,50040,1423,0,0,86842495,15050650
balanced,4,8,4,29,1,1,0,46,257,4,0,0,364.53441815563053,50040,1718,0,0,99527286,17249636
balanced,4,8,4,30,1,1,0,6,34,1,0,1,326.1338509419961,50040,0,0,0,13162571,2281195
balanced,4,8,4,31,1,1,0,14,25,1,0,1,279.9496238957695,50040,0,0,0,9635359,1670914
balanced,4,8,4,32,1,1,0,37,496,8,0,0,369.0560944790727,50040,3594,0,0,192283986,33323421
balanced,4,8,4,33,1,1,0,19,48,1,0,1,374.01640214607346,50040,0,0,0,18527871,3211275
balanced,4,8,4,34,1,1,0,49,257,4,0,1,377.72154787262707,50040,1362,0,0,99790109,17291851
balanced,4,8,4,35,1,1,0,24,38,1,0,1,421.6370194959089,50040,0,0,0,14430240,2503356
balanced,4,8,4,36,1,1,0,18,76,1,0,1,396.2696093008376,50040,0,0,0,29443262,5102714
balanced,4,8,4,37,0,0,0,74,980,16,1,1,,50040,10022,0,0,379131517,65702450
balanced,4,8,4,38,1,1,0,40,80,1,0,1,435.59333456763414,50040,0,0,0,30986079,5369023
balanced,4,8,4,39,1,1,0,28,34,1,0,1,354.78762360684755,50040,0,0,0,13110247,2273650
balanced,4,8,4,40,1,1,0,14,34,1,0,1,277.9374076073967,50040,0,0,0,13161686,2281272
balanced,4,8,4,41,1,1,0,24,40,1,0,1,291.99977257126477,50040,0,0,0,15548795,2694520
balanced,4,8,4,42,1,1,0,21,37,1,0,1,302.6736549046973,50040,0,0,0,14291429,2477382
balanced,4,8,4,43,1,1,0,22,60,1,0,1,353.4054198735728,50040,0,0,0,23224015,4025495
balanced,4,8,4,44,1,1,0,14,25,1,0,1,412.41607145388446,50040,0,0,0,9507456,1649153
balanced,4,8,4,45,1,1,0,19,44,1,0,1,274.4299119131341,50040,0,0,0,17116654,2965919
balanced,4,8,4,46,1,1,0,26,23,1,0,1,384.5674627635779,50040,0,0,0,8762226,1520452
balanced,4,8,4,47,1,1,0,23,76,1,0,1,305.0114033048123,50040,0,0,0,29582569,5124960
balanced,4,8,4,48,1,1,0,25,42,1,0,1,344.32337997345724,50040,0,0,0,16106624,2793646
balanced,4,8,4,49,0,0,0,39,980,16,0,0,,50040,7483,0,0,380098276,65865441
