first_gamma,later_gamma_low,later_gamma_high,S,R,shot,syndrome_converged,logical_action_match,logically_correct,selected_weight,iterations,first_leg_iterations,legs,solutions,first_leg_success,rescued
0.0,-0.24,0.66,1,8,64,1,1,1,278.7770616951118,80,80,1,1,True,False
0.0,-0.24,0.66,1,8,65,1,1,1,281.10892541365035,75,75,1,1,True,False
0.0,-0.24,0.66,1,8,66,1,1,1,358.27238286389036,216,80,4,1,False,True
0.0,-0.24,0.66,1,8,67,1,1,1,519.3386548067904,222,80,4,1,False,True
0.0,-0.24,0.66,1,8,68,1,1,1,343.75027521098895,192,80,3,1,False,True
0.0,-0.24,0.66,1,8,69,1,1,1,401.9709343128633,291,80,5,1,False,True
0.0,-0.24,0.66,1,8,70,0,0,0,,500,80,8,0,False,False
0.0,-0.24,0.66,1,8,71,1,1,1,245.84681147869253,97,80,2,1,False,True
0.0,-0.24,0.66,1,8,72,1,1,1,400.94913464347,219,80,4,1,False,True
0.0,-0.24,0.66,1,8,73,1,1,1,294.60331266832117,233,80,4,1,False,True
0.0,-0.24,0.66,1,8,74,1,1,1,437.6079519525885,110,80,2,1,False,True
0.0,-0.24,0.66,1,8,75,1,1,1,419.93567240885443,101,80,2,1,False,True
0.0,-0.24,0.66,1,8,76,1,1,1,402.715009566937,101,80,2,1,False,True
0.0,-0.24,0.66,1,8,77,1,1,1,399.2851641654929,192,80,3,1,False,True
0.0,-0.24,0.66,1,8,78,1,1,1,308.62544822366215,108,80,2,1,False,True
0.0,-0.24,0.66,1,8,79,1,1,1,350.5871166264847,135,80,2,1,False,True
0.0,-0.24,0.66,1,8,80,1,1,1,443.1914966033312,167,80,3,1,False,True
0.0,-0.24,0.66,1,8,81,1,1,1,411.00973875648066,110,80,2,1,False,True
0.0,-0.24,0.66,1,8,82,1,1,1,310.09791529628717,96,80,2,1,False,True
0.0,-0.24,0.66,1,8,83,1,1,1,469.6812733244428,174,80,3,1,False,True
0.0,-0.24,0.66,1,8,84,1,1,1,467.09657082386525,291,80,5,1,False,True
0.0,-0.24,0.66,1,8,85,1,1,1,235.23471720453398,279,80,5,1,False,True
0.0,-0.24,0.66,1,8,86,1,1,1,355.45825674683294,102,80,2,1,False,True
0.0,-0.24,0.66,1,8,87,1,1,1,361.10605985169246,284,80,5,1,False,True
0.0,-0.24,0.66,1,8,88,1,1,1,376.4964306315527,99,80,2,1,False,True
0.0,-0.24,0.66,1,8,89,1,1,1,383.5524685215188,105,80,2,1,False,True
0.0,-0.24,0.66,1,8,90,1,1,1,328.6030767439968,103,80,2,1,False,True
0.0,-0.24,0.66,1,8,91,0,0,0,,500,80,8,0,False,False
0.0,-0.24,0.66,1,8,92,1,1,1,403.72154249513596,294,80,5,1,False,True
0.0,-0.24,0.66,1,8,93,1,1,1,325.42355114586394,121,80,2,1,False,True
0.0,-0.24,0.66,1,8,94,1,1,1,422.91439264697317,349,80,6,1,False,True
0.0,-0.24,0.66,1,8,95,1,1,1,343.0473354693597,69,69,1,1,True,False
0.0,-0.24,0.66,1,8,96,1,1,1,330.2609102422091,273,80,5,1,False,True
0.0,-0.24,0.66,1,8,97,1,1,1,436.29844057779644,335,80,6,1,False,True
0.0,-0.24,0.66,1,8,98,1,1,1,371.92074453153634,129,80,2,1,False,True
0.0,-0.24,0.66,1,8,99,1,1,1,357.836169237375,156,80,3,1,False,True
0.0,-0.24,0.66,1,8,100,1,1,1,430.32193059951476,198,80,3,1,False,True
0.0,-0.24,0.66,1,8,101,1,1,1,340.4657891849989,130,80,2,1,False,True
0.0,-0.24,0.66,1,8,102,1,1,1,267.52501563702543,149,80,3,1,False,True
0.0,-0.24,0.66,1,8,103,0,0,0,,500,80,8,0,False,False
0.0,-0.24,0.66,1,8,104,1,1,1,316.56243660209236,153,80,3,1,False,True
0.0,-0.24,0.66,1,8,105,1,1,1,444.4282150851482,297,80,5,1,False,True
0.0,-0.24,0.66,1,8,106,1,1,1,325.1867009595396,93,80,2,1,False,True
0.0,-0.24,0.66,1,8,107,1,1,1,338.0106407677588,499,80,8,1,False,True
0.0,-0.24,0.66,1,8,108,1,1,1,376.8723806687184,154,80,3,1,False,True
0.0,-0.24,0.66,1,8,109,1,1,1,447.07992399544077,123,80,2,1,False,True
0.0,-0.24,0.66,1,8,110,0,0,0,,500,80,8,0,False,False
0.0,-0.24,0.66,1,8,111,1,1,1,410.0853408568064,109,80,2,1,False,True
0.0,-0.24,0.66,1,8,112,1,1,1,362.2543456624307,131,80,2,1,False,True
0.0,-0.24,0.66,1,8,113,1,1,1,317.54997856227953,91,80,2,1,False,True
0.0,-0.24,0.66,1,8,114,1,1,1,413.7331551513448,285,80,5,1,False,True
0.0,-0.24,0.66,1,8,115,1,1,1,297.6031703975659,156,80,3,1,False,True
0.0,-0.24,0.66,1,8,116,1,1,1,386.6753847762949,213,80,4,1,False,True
0.0,-0.24,0.66,1,8,117,0,0,0,,500,80,8,0,False,False
0.0,-0.24,0.66,1,8,118,1,1,1,363.6419135825912,158,80,3,1,False,True
0.0,-0.24,0.66,1,8,119,1,1,1,327.4525085953006,197,80,3,1,False,True
0.0,-0.24,0.66,1,8,120,1,1,1,337.2779180427266,182,80,3,1,False,True
0.0,-0.24,0.66,1,8,121,1,1,1,504.8219363682295,161,80,3,1,False,True
0.0,-0.24,0.66,1,8,122,1,1,1,327.0211432519825,155,80,3,1,False,True
0.0,-0.24,0.66,1,8,123,1,1,1,410.918827848422,222,80,4,1,False,True
0.0,-0.24,0.66,1,8,124,1,1,1,310.40209461309786,79,79,1,1,True,False
0.0,-0.24,0.66,1,8,125,1,1,1,401.2229556317029,138,80,2,1,False,True
0.0,-0.24,0.66,1,8,126,1,1,1,390.4539677749734,123,80,2,1,False,True
0.0,-0.24,0.66,1,8,127,1,1,1,427.5794724547505,161,80,3,1,False,True
0.0,-0.24,0.66,1,16,0,1,1,1,331.7879712499155,157,80,3,1,False,True
0.0,-0.24,0.66,1,16,1,1,1,1,381.3163557671398,235,80,4,1,False,True
0.0,-0.24,0.66,1,16,2,1,1,1,469.97521062883317,594,80,10,1,False,True
0.0,-0.24,0.66,1,16,3,1,1,1,431.9346899709031,128,80,2,1,False,True
0.0,-0.24,0.66,1,16,4,1,1,1,390.4565399682235,164,80,3,1,False,True
0.0,-0.24,0.66,1,16,5,1,1,1,320.6615603294945,122,80,2,1,False,True
0.0,-0.24,0.66,1,16,6,1,1,1,297.8308689221501,96,80,2,1,False,True
0.0,-0.24,0.66,1,16,7,1,1,1,378.4128512133224,168,80,3,1,False,True
0.0,-0.24,0.66,1,16,8,1,1,1,397.5820693204111,125,80,2,1,False,True
