case_id,sample_seed,shot,gamma_seed,syndrome_hash,logical_outcome_hash,classification,archive_reproduction,e1_winner,parallel_rescue,original_converged,partitioned_converged,original_syndrome_valid,partitioned_syndrome_valid,original_logical_correct,partitioned_logical_correct,original_iterations,partitioned_iterations,original_relay_legs,partitioned_relay_legs,original_final_residual,partitioned_final_residual,original_candidate_weight,partitioned_candidate_weight,candidate_weight_delta,correction_hash,partitioned_inverse_correction_hash,correction_exact,logical_action_exact,trace_exact,trace_iterations_compared,final_rng_state,accepted_gamma_count,accepted_gamma_sequence_hash,original_runtime_seconds,partitioned_runtime_seconds,first_trace_difference
20260809_020,20260809,20,650155048283116494,d1de07ec1678d4f882cf159b04401e2f091dd81c7fdb99bbb8cf5c7a2414df39,783c355ad1b2d293d966dc05101ca060fd4d26edb56ab7c7f49587d099e42f47,EXACT MATCH,True,False,False,1,1,1,1,1,1,74,74,1,1,0,0,295.8497901266065,295.8497901266064,-5.684341886080802e-14,6d8b2f01038cb4a22ba11c09c9ffda52fcbe5acaf18fcbb219f2ae2e86472cea,6d8b2f01038cb4a22ba11c09c9ffda52fcbe5acaf18fcbb219f2ae2e86472cea,True,True,True,74,650155048283116494,0,b1f44c4a0fb9a1844cb3161bbf64eb5ea67b5bf8c5a5ea4f2bab88b4dd19d4e2,7.42781283298973,8.357464542001253,null
20260809_021,20260809,21,5569293638566506660,5a83590b88819ed029e089befd7caae3e032a3d49cc41c29c95cc7913dcb2db4,8f375801003fc88b0c8a3d260ade28b87a8af1c86e28be139ccf6353f0b1c7dd,EXACT MATCH,True,False,False,1,1,1,1,1,1,26,26,1,1,0,0,271.03848372018774,271.03848372018774,0.0,36314f1dc2c2cbfd838a552555ade99d3e3f4e0a458ff143063054b10cb68921,36314f1dc2c2cbfd838a552555ade99d3e3f4e0a458ff143063054b10cb68921,True,True,True,26,5569293638566506660,0,b1f44c4a0fb9a1844cb3161bbf64eb5ea67b5bf8c5a5ea4f2bab88b4dd19d4e2,2.6568382080004085,3.4675036249973346,null
20260809_022,20260809,22,11311453404091587701,8696cffaed89cfc29763fc53038712ecb6d0a3d66bccc560c2f2508d0f28c5c7,6a52cc13d78ca3915cacc662b84fcf1c99cec0fcafb9ffdf42c357da190f63ee,EXACT MATCH,True,False,False,1,1,1,1,1,1,40,40,1,1,0,0,320.50100238223763,320.50100238223763,0.0,8a572a8261a4cf2e9b37291bfc5d3e70683a678c4bc0c629dbd3faa1026ad3e8,8a572a8261a4cf2e9b37291bfc5d3e70683a678c4bc0c629dbd3faa1026ad3e8,True,True,True,40,11311453404091587701,0,b1f44c4a0fb9a1844cb3161bbf64eb5ea67b5bf8c5a5ea4f2bab88b4dd19d4e2,4.88155537500279,4.127263292000862,null
20260809_023,20260809,23,8898354168403465168,7007538714962ac100d6c268c0b3f577b010b2720bd166cf745058211ea75fd9,72bf608449e1cead5ec7006f556928a60242eb68503aa907f9917fd805e8f95c,EXACT MATCH,True,False,False,1,1,1,1,1,1,320,320,5,5,0,0,427.21076269659034,427.2107626965903,-5.684341886080802e-14,3b8f486bc67fc4775c60cf804767a2086a640d9ab607813ba939ab3a44a9a720,3b8f486bc67fc4775c60cf804767a2086a640d9ab607813ba939ab3a44a9a720,True,True,True,320,15316921109630754414,271008,6739c119dbac15c8c7dc35e1df94f4af18aa729e0b762a1a234a812bfd14a03c,33.78821745800087,34.97490779100917,null
20260809_024,20260809,24,2855576777253091380,27dccc1092ae6e81466b1d61c7d3e72d7fbab245817a719e2b473739af533d36,8ed7c07ccb53e4680f5e0df58cbe6f96d32ff4a40a7f623ba098b4cb335786af,EXACT MATCH,True,False,False,1,1,1,1,1,1,128,128,2,2,0,0,310.2763484448406,310.27634844484066,5.684341886080802e-14,bea03d26e5073b5db06a012fc916fa097552f081fe1521993fc909d837dfc4b6,bea03d26e5073b5db06a012fc916fa097552f081fe1521993fc909d837dfc4b6,True,True,True,128,755166280078432842,67752,7e71ebc17778359c50705b7b0da91f89580c67c23b687591693b7b73ce16402a,13.772008166008163,13.053165459015872,null
20260809_025,20260809,25,6605776833461096963,57a57873d4f11783ed2db6afbffdd23a03398e08c6b77287fe8755c1fa7e9bc8,e788305f04b3cde38c74906ba57b9f41015196b063bd2379557b17fcd0a28d26,EXACT MATCH,True,True,False,1,1,1,1,1,1,158,158,3,3,0,0,271.090904950353,271.090904950353,0.0,08dc20c4571e4b98d48eccb6f49778dcc2278cafd31d60a9c42067bce2acf382,08dc20c4571e4b98d48eccb6f49778dcc2278cafd31d60a9c42067bce2acf382,True,True,True,158,15984906386006019585,135504,abcf78dfa9193dcc25ae2b1cc7bda7e5095b474db49d829dfd578d03b2915309,16.036234541010344,16.908152250020066,null
20260809_026,20260809,26,16404895323214951940,81d33f91b8ccbac5de15e7fa2154a0fc89ee104c12e66c1a76e013625b5111ee,ef97e558613568a505c3dab3db773d7e239a589bd06035bcb1af7ec1e6cf1035,EXACT MATCH,True,True,False,1,1,1,1,1,1,103,103,2,2,0,0,329.9648096606506,329.9648096606506,0.0,edf14959d9861463cd3008dd9fdd91f1dc6a7ac02fc956c9cb6fc35a53e5a544,edf14959d9861463cd3008dd9fdd91f1dc6a7ac02fc956c9cb6fc35a53e5a544,True,True,True,103,11381249108093554059,67752,47a2edcbfb9519ce7727cccf34b63bd7183bcb563d2b28f0f19bc0b2d823d96d,10.475730125006521,11.306118665990653,null
20260809_027,20260809,27,18108705045625852507,cd5199ea4f73ef83d40affc78c2329fe63e0f6c3f3f38bf9a488bdfe7edc2b85,184aeb6e09e2b1399d7adbf444b5beb6f53cb6c25752342fa6a25acaf55c817a,EXACT MATCH,True,True,False,1,1,1,1,1,1,107,107,2,2,0,0,297.1420944002253,297.1420944002253,0.0,f7ebeb68de32fa93c732da4a3d9038663bd90749759eef8eeb51e3cd76d4ba4f,f7ebeb68de32fa93c732da4a3d9038663bd90749759eef8eeb51e3cd76d4ba4f,True,True,True,107,11543856073293137603,67752,22cfae245fbf469c1941d82f623d6561a8e569c3228b91886ff3251c160c357a,11.41667941698688,11.758188915991923,null
20260809_028,20260809,28,9110900935259390341,258ed2a3c2166ca6eb01c09e7e3e823085ca5d6b2dd8ea686050f343ca23f118,5a87de08bf0375c53209b6dddfcc726135cd7c4c2ec4742d742da654ebb4bd5d,EXACT MATCH,True,False,False,1,1,1,1,1,1,368,368,6,6,0,0,383.79385239923056,383.79385239923056,0.0,7a11883b1df7fe72af8a27fdf786889f1282a841664095905fc85c44e1df1556,7a11883b1df7fe72af8a27fdf786889f1282a841664095905fc85c44e1df1556,True,True,True,368,10737889398758322480,338760,2ea01427c3617ec963875e1e55119edf7242c50ae6158e88f8772168fc768d45,40.837607416004175,43.302999709005235,null
20260809_029,20260809,29,986750089430005861,6bb1ea3b1f691041612d8f944b189b92b47ab0cd8f6661834508ea60dca47fd3,8f375801003fc88b0c8a3d260ade28b87a8af1c86e28be139ccf6353f0b1c7dd,EXACT MATCH,True,True,False,1,1,1,1,1,1,137,137,2,2,0,0,367.16529890295794,367.16529890295794,0.0,81820b4d93b36170a8e8d9dd57113881c5dd5ba62345bdbd8948633c394b6e7b,81820b4d93b36170a8e8d9dd57113881c5dd5ba62345bdbd8948633c394b6e7b,True,True,True,137,11610629977269490802,67752,73208597d33d53b58120fe8382f36bcb5340c4240a0bd1463d294a11a5212d77,14.601554541004589,16.235665665997658,null
