policy,winner,first_success_cycles,first_success_quanta,global_failure,e0_work_before_first,e1_work_before_first,e0_flagged_work_before_first,e1_flagged_work_before_first,total_full_service_quanta,e0_total_work,e1_total_work,e0_flagged_work,e1_flagged_work,e0_ever_flagged,e1_ever_flagged,max_e0_service_gap,max_e1_service_gap,total_requested_accesses,total_issued_groups,total_retry_subsets,mean_active_lanes,lane_utilization,sample_seed,shot,winner_logical_correct,winner_syndrome_valid,winner_correction_hash,changed_winner,lost_success,logical_regression,invalid,cycles_delta_vs_round_robin,cycles_percent_vs_round_robin,classification
P1_stagnation_1to2,0,753285775.0,233,0,117,116,0,0,816,117,699,0,439,0,1,1,1,847035576.0,328646704.0,11362576.0,2.5773438944940703,0.6443359736235176,20260809,9,1,1,3a5cb3bdcb1b491e5b3ee7b86d28145a11f4502e769e50c5b8494e9e4870b597,0,0,0,0,0.0,0.0,A_same_success_same_winner
P2_stagnation_1to3,0,753285775.0,233,0,117,116,0,0,816,117,699,0,439,0,1,1,1,847035576.0,328646704.0,11362576.0,2.5773438944940703,0.6443359736235176,20260809,9,1,1,3a5cb3bdcb1b491e5b3ee7b86d28145a11f4502e769e50c5b8494e9e4870b597,0,0,0,0,0.0,0.0,A_same_success_same_winner
P0_round_robin,0,339674585.0,105,0,53,52,0,0,106,53,53,0,0,0,0,1,1,381943080.0,148179376.0,5139316.0,2.5775724686544774,0.6443931171636194,20260809,10,1,1,c2cd2048d81e94e6f55b170265dd0c90b5c88f78e7876d8da86706bbcc53057d,0,0,0,0,0.0,0.0,A_same_success_same_winner
P1_stagnation_1to2,0,339674585.0,105,0,53,52,0,0,106,53,53,0,0,0,0,1,1,381943080.0,148179376.0,5139316.0,2.5775724686544774,0.6443931171636194,20260809,10,1,1,c2cd2048d81e94e6f55b170265dd0c90b5c88f78e7876d8da86706bbcc53057d,0,0,0,0,0.0,0.0,A_same_success_same_winner
P2_stagnation_1to3,0,339674585.0,105,0,53,52,0,0,106,53,53,0,0,0,0,1,1,381943080.0,148179376.0,5139316.0,2.5775724686544774,0.6443931171636194,20260809,10,1,1,c2cd2048d81e94e6f55b170265dd0c90b5c88f78e7876d8da86706bbcc53057d,0,0,0,0,0.0,0.0,A_same_success_same_winner
P0_round_robin,0,669705265.0,207,0,104,103,0,0,325,104,221,0,16,0,1,1,1,753040584.0,292147280.0,10137248.0,2.5776060074904685,0.6444015018726171,20260809,11,1,1,9363895ad4037f4a8a810c0f28dca9c65a107b4c868e512c4304aece79dd3ed1,0,0,0,0,0.0,0.0,A_same_success_same_winner
P1_stagnation_1to2,0,669705265.0,207,0,104,103,0,0,325,104,221,0,16,0,1,1,1,753040584.0,292147280.0,10137248.0,2.5776060074904685,0.6444015018726171,20260809,11,1,1,9363895ad4037f4a8a810c0f28dca9c65a107b4c868e512c4304aece79dd3ed1,0,0,0,0,0.0,0.0,A_same_success_same_winner
P2_stagnation_1to3,0,669705265.0,207,0,104,103,0,0,325,104,221,0,16,0,1,1,1,753040584.0,292147280.0,10137248.0,2.5776060074904685,0.6444015018726171,20260809,11,1,1,9363895ad4037f4a8a810c0f28dca9c65a107b4c868e512c4304aece79dd3ed1,0,0,0,0,0.0,0.0,A_same_success_same_winner
P0_round_robin,0,384679475.0,119,0,60,59,0,0,120,60,60,0,0,0,0,1,1,432555768.0,167832912.0,5799108.0,2.5773000232516967,0.6443250058129242,20260809,12,1,1,013f8a2c63f57a34ebe6e8ef6320a6f2646c2e9174bdf05b3405ca2790f1f32a,0,0,0,0,0.0,0.0,A_same_success_same_winner
P1_stagnation_1to2,0,384679475.0,119,0,60,59,0,0,120,60,60,0,0,0,0,1,1,432555768.0,167832912.0,5799108.0,2.5773000232516967,0.6443250058129242,20260809,12,1,1,013f8a2c63f57a34ebe6e8ef6320a6f2646c2e9174bdf05b3405ca2790f1f32a,0,0,0,0,0.0,0.0,A_same_success_same_winner
P2_stagnation_1to3,0,384679475.0,119,0,60,59,0,0,120,60,60,0,0,0,0,1,1,432555768.0,167832912.0,5799108.0,2.5773000232516967,0.6443250058129242,20260809,12,1,1,013f8a2c63f57a34ebe6e8ef6320a6f2646c2e9174bdf05b3405ca2790f1f32a,0,0,0,0,0.0,0.0,A_same_success_same_winner
P0_round_robin,0,1166896965.0,361,0,181,180,0,0,841,181,660,0,460,0,1,1,1,1312128072.0,509114032.0,17585836.0,2.5772773672048386,0.6443193418012096,20260809,13,1,1,2d85784b803864cfcf0519ad55f4aee358ef6c87f4ecd39984be6f542ecc4aad,0,0,0,0,0.0,0.0,A_same_success_same_winner
P1_stagnation_1to2,0,1166896965.0,361,0,181,180,0,0,841,181,660,0,460,0,1,1,1,1312128072.0,509114032.0,17585836.0,2.5772773672048386,0.6443193418012096,20260809,13,1,1,2d85784b803864cfcf0519ad55f4aee358ef6c87f4ecd39984be6f542ecc4aad,0,0,0,0,0.0,0.0,A_same_success_same_winner
P2_stagnation_1to3,0,1166896965.0,361,0,181,180,0,0,841,181,660,0,460,0,1,1,1,1312128072.0,509114032.0,17585836.0,2.5772773672048386,0.6443193418012096,20260809,13,1,1,2d85784b803864cfcf0519ad55f4aee358ef6c87f4ecd39984be6f542ecc4aad,0,0,0,0,0.0,0.0,A_same_success_same_winner
P0_round_robin,0,249664805.0,77,0,39,38,0,0,78,39,39,0,0,0,0,1,1,280717704.0,108872304.0,3819732.0,2.57841244913858,0.644603112284645,20260809,14,1,1,a258b12c779a22156d5ce319b3d259addc1fcf9e8eebf850158ecebd175233fc,0,0,0,0,0.0,0.0,A_same_success_same_winner
P1_stagnation_1to2,0,249664805.0,77,0,39,38,0,0,78,39,39,0,0,0,0,1,1,280717704.0,108872304.0,3819732.0,2.57841244913858,0.644603112284645,20260809,14,1,1,a258b12c779a22156d5ce319b3d259addc1fcf9e8eebf850158ecebd175233fc,0,0,0,0,0.0,0.0,A_same_success_same_winner
P2_stagnation_1to3,0,249664805.0,77,0,39,38,0,0,78,39,39,0,0,0,0,1,1,280717704.0,108872304.0,3819732.0,2.57841244913858,0.644603112284645,20260809,14,1,1,a258b12c779a22156d5ce319b3d259addc1fcf9e8eebf850158ecebd175233fc,0,0,0,0,0.0,0.0,A_same_success_same_winner
P0_round_robin,0,1064028645.0,329,0,165,164,0,0,365,165,200,0,0,0,0,1,1,1196441928.0,464191664.0,16077740.0,2.577473963427314,0.6443684908568285,20260809,15,1,1,1d1d5a786829d01cceeed4ee3d4f2aeef3eb480721c8a782d7818def7873c9f1,0,0,0,0,0.0,0.0,A_same_success_same_winner
P1_stagnation_1to2,0,1064028645.0,329,0,165,164,0,0,365,165,200,0,0,0,0,1,1,1196441928.0,464191664.0,16077740.0,2.577473963427314,0.6443684908568285,20260809,15,1,1,1d1d5a786829d01cceeed4ee3d4f2aeef3eb480721c8a782d7818def7873c9f1,0,0,0,0,0.0,0.0,A_same_success_same_winner
