sample_seed,shot,policy,engine,event,trajectory_iteration,scheduler_quantum,wall_cycles,wall_cycle_delay_vs_round_robin,occurred_before_first_success,trajectory_eventually_won
20260811,27,P1_stagnation_1to2,0,flagged_convergence,334,560,1810885150.0,0.0,0,0
20260811,27,P2_stagnation_1to3,1,flagged,200,400,1292267730.0,0.0,1,1
20260811,27,P2_stagnation_1to3,0,flagged,260,480,1551576440.0,-19287810.0,1,0
20260811,27,P2_stagnation_1to3,1,late_recovery,222,484,1565503935.0,129654355.0,1,1
20260811,27,P2_stagnation_1to3,0,late_recovery,334,560,1810885150.0,0.0,0,0
20260811,27,P2_stagnation_1to3,0,flagged_convergence,334,560,1810885150.0,0.0,0,0
20260811,28,P0_round_robin,0,flagged,260,369,1192614045.0,0.0,0,0
20260811,28,P0_round_robin,0,late_recovery,538,647,2091627350.0,0.0,0,0
20260811,28,P0_round_robin,0,flagged_convergence,538,647,2091627350.0,0.0,0,0
20260811,28,P1_stagnation_1to2,0,flagged,260,369,1192614045.0,0.0,0,0
20260811,28,P1_stagnation_1to2,0,late_recovery,538,647,2091627350.0,0.0,0,0
20260811,28,P1_stagnation_1to2,0,flagged_convergence,538,647,2091627350.0,0.0,0,0
20260811,28,P2_stagnation_1to3,0,flagged,260,369,1192614045.0,0.0,0,0
20260811,28,P2_stagnation_1to3,0,late_recovery,538,647,2091627350.0,0.0,0,0
20260811,28,P2_stagnation_1to3,0,flagged_convergence,538,647,2091627350.0,0.0,0,0
20260812,12,P0_round_robin,1,flagged,260,359,1160467695.0,0.0,0,0
20260812,12,P0_round_robin,1,late_recovery,347,446,1442278850.0,0.0,0,0
20260812,12,P0_round_robin,1,flagged_convergence,347,446,1442278850.0,0.0,0,0
20260812,12,P1_stagnation_1to2,1,flagged,260,359,1160467695.0,0.0,0,0
20260812,12,P1_stagnation_1to2,1,late_recovery,347,446,1442278850.0,0.0,0,0
20260812,12,P1_stagnation_1to2,1,flagged_convergence,347,446,1442278850.0,0.0,0,0
20260812,12,P2_stagnation_1to3,1,flagged,260,359,1160467695.0,0.0,0,0
20260812,12,P2_stagnation_1to3,1,late_recovery,347,446,1442278850.0,0.0,0,0
20260812,12,P2_stagnation_1to3,1,flagged_convergence,347,446,1442278850.0,0.0,0,0
20260812,14,P0_round_robin,0,flagged,200,399,1289053095.0,0.0,1,1
20260812,14,P0_round_robin,1,flagged,200,400,1292267730.0,0.0,1,0
20260812,14,P0_round_robin,0,late_recovery,403,805,2602746545.0,0.0,1,1
20260812,14,P0_round_robin,0,flagged_convergence,403,805,2602746545.0,0.0,1,1
20260812,14,P1_stagnation_1to2,0,flagged,200,399,1289053095.0,0.0,1,1
20260812,14,P1_stagnation_1to2,1,flagged,200,400,1292267730.0,0.0,1,0
20260812,14,P1_stagnation_1to2,0,late_recovery,403,805,2602746545.0,0.0,1,1
20260812,14,P1_stagnation_1to2,0,flagged_convergence,403,805,2602746545.0,0.0,1,1
20260812,14,P2_stagnation_1to3,0,flagged,200,399,1289053095.0,0.0,1,1
20260812,14,P2_stagnation_1to3,1,flagged,200,400,1292267730.0,0.0,1,0
20260812,14,P2_stagnation_1to3,0,late_recovery,403,805,2602746545.0,0.0,1,1
