sample_seed,seed_index,shot,engine,decoder_seed,syndrome_sample_hash,logical_sample_hash,syndrome_converged,logical_correct,syndrome_valid_logical_error,non_convergence,iterations,relay_legs,weight,natural_cycles,result_cycles,rng_words,gamma_coefficients,initial_rng_state,final_rng_state
20260809,0,8,0,4195653764737705966,b7a8cc09030bcfa2e854e82f8c8f158b4daca6b1c82bd9ebe3565d678d713198,810ec9dd94477aeb42f7efff2ce01c4e5f1c091b09fb1b7e5534fa9b58a4109d,1,1,0,0,54,1,337.51386556784337,205632275,205632274,0,0,4195653764737705966,4195653764737705966
20260809,0,8,1,12631610141971852844,b7a8cc09030bcfa2e854e82f8c8f158b4daca6b1c82bd9ebe3565d678d713198,810ec9dd94477aeb42f7efff2ce01c4e5f1c091b09fb1b7e5534fa9b58a4109d,1,1,0,0,54,1,337.51386556784337,205632275,205632274,0,0,12631610141971852844,12631610141971852844
20260809,0,8,2,2875604248429452519,b7a8cc09030bcfa2e854e82f8c8f158b4daca6b1c82bd9ebe3565d678d713198,810ec9dd94477aeb42f7efff2ce01c4e5f1c091b09fb1b7e5534fa9b58a4109d,1,1,0,0,54,1,337.51386556784337,205632275,205632274,0,0,2875604248429452519,2875604248429452519
20260809,0,8,3,3209806993358201289,b7a8cc09030bcfa2e854e82f8c8f158b4daca6b1c82bd9ebe3565d678d713198,810ec9dd94477aeb42f7efff2ce01c4e5f1c091b09fb1b7e5534fa9b58a4109d,1,1,0,0,54,1,337.51386556784337,205632275,205632274,0,0,3209806993358201289,3209806993358201289
20260809,0,9,0,4113981703839189640,36d8b4a67fb725106f7321760eb7167fe137b6c5cb252972fba48989f22ac4a2,786c2e62da0da96eb36c5a9b45669c5cf531b8d0f3fcac5a4efba57f4d5b4db9,1,1,0,0,117,2,365.4345292638636,445392522,445392521,96621,67752,4113981703839189640,18317648583498363007
20260809,0,9,1,10216336629036633155,36d8b4a67fb725106f7321760eb7167fe137b6c5cb252972fba48989f22ac4a2,786c2e62da0da96eb36c5a9b45669c5cf531b8d0f3fcac5a4efba57f4d5b4db9,1,1,0,0,699,12,356.298895047232,2661129587,2661129586,1059318,745272,10216336629036633155,5406914849357710773
20260809,0,9,2,11742326065375311926,36d8b4a67fb725106f7321760eb7167fe137b6c5cb252972fba48989f22ac4a2,786c2e62da0da96eb36c5a9b45669c5cf531b8d0f3fcac5a4efba57f4d5b4db9,1,1,0,0,163,3,364.4659469575425,620743067,620743066,192955,135504,11742326065375311926,14021903221474299391
20260809,0,9,3,5598667336250636250,36d8b4a67fb725106f7321760eb7167fe137b6c5cb252972fba48989f22ac4a2,786c2e62da0da96eb36c5a9b45669c5cf531b8d0f3fcac5a4efba57f4d5b4db9,1,1,0,0,109,2,358.37621462922255,415082434,415082433,96845,67752,5598667336250636250,8127682739555552266
20260809,0,10,0,17802734268392651266,74cd7c06b824e534bd8c45e1e264c9ce52a7ba58cec19468ec587f0fc3e8ea40,d8be982bac46c32cebc5f42e7df5a2f5d0baf5c7821794844d7245e09a297820,1,1,0,0,53,1,310.5067186071732,201843486,201843485,0,0,17802734268392651266,17802734268392651266
20260809,0,10,1,5614213855103928757,74cd7c06b824e534bd8c45e1e264c9ce52a7ba58cec19468ec587f0fc3e8ea40,d8be982bac46c32cebc5f42e7df5a2f5d0baf5c7821794844d7245e09a297820,1,1,0,0,53,1,310.5067186071732,201843486,201843485,0,0,5614213855103928757,5614213855103928757
20260809,0,10,2,14849080725098169978,74cd7c06b824e534bd8c45e1e264c9ce52a7ba58cec19468ec587f0fc3e8ea40,d8be982bac46c32cebc5f42e7df5a2f5d0baf5c7821794844d7245e09a297820,1,1,0,0,53,1,310.5067186071732,201843486,201843485,0,0,14849080725098169978,14849080725098169978
