original_fault_id,partition_id,new_fault_id
1626,1,17457
1627,1,17458
1628,1,17459
1629,1,17460
1630,0,1095
1631,0,1096
1632,0,1097
1633,1,17461
1634,1,17462
1635,2,33888
1636,0,1098
1637,0,1099
1638,0,1100
1639,0,1101
1640,0,1102
1641,0,1103
1642,0,1104
1643,0,1105
1644,0,1106
1645,0,1107
1646,0,1108
1647,0,1109
1648,0,1110
1649,0,1111
1650,0,1112
1651,0,1113
1652,1,17463
1653,0,1114
1654,0,1115
1655,0,1116
1656,0,1117
1657,0,1118
1658,0,1119
1659,0,1120
1660,0,1121
1661,0,1122
1662,0,1123
1663,0,1124
1664,1,17464
1665,1,17465
1666,0,1125
1667,0,1126
1668,0,1127
1669,1,17466
1670,1,17467
1671,2,33889
1672,0,1128
1673,0,1129
1674,0,1130
1675,0,1131
1676,0,1132
1677,0,1133
1678,0,1134
1679,0,1135
1680,0,1136
1681,0,1137
1682,0,1138
1683,0,1139
1684,0,1140
1685,0,1141
1686,0,1142
1687,0,1143
1688,1,17468
1689,0,1144
1690,0,1145
1691,0,1146
1692,0,1147
1693,0,1148
1694,0,1149
1695,0,1150
1696,0,1151
1697,0,1152
1698,0,1153
1699,0,1154
1700,0,1155
1701,0,1156
1702,0,1157
1703,0,1158
1704,0,1159
1705,0,1160
1706,0,1161
1707,0,1162
1708,0,1163
1709,0,1164
1710,0,1165
1711,0,1166
1712,0,1167
1713,0,1168
1714,0,1169
1715,0,1170
1716,0,1171
1717,0,1172
1718,0,1173
1719,0,1174
1720,0,1175
1721,0,1176
1722,0,1177
1723,0,1178
1724,0,1179
1725,0,1180
1726,0,1181
1727,0,1182
1728,0,1183
1729,0,1184
1730,0,1185
1731,0,1186
1732,0,1187
1733,0,1188
1734,0,1189
1735,0,1190
1736,0,1191
1737,0,1192
1738,2,33890
1739,2,33891
1740,0,1193
1741,0,1194
1742,0,1195
1743,0,1196
1744,0,1197
1745,0,1198
1746,0,1199
1747,0,1200
1748,0,1201
1749,0,1202
1750,0,1203
1751,0,1204
1752,0,1205
1753,0,1206
1754,0,1207
1755,0,1208
1756,0,1209
1757,0,1210
1758,0,1211
1759,0,1212
1760,0,1213
1761,0,1214
1762,0,1215
1763,0,1216
1764,0,1217
1765,0,1218
1766,0,1219
1767,0,1220
1768,0,1221
1769,0,1222
1770,0,1223
1771,0,1224
1772,0,1225
1773,0,1226
1774,2,33892
1775,2,33893
1776,0,1227
1777,0,1228
1778,0,1229
1779,0,1230
1780,0,1231
1781,0,1232
1782,0,1233
1783,0,1234
1784,0,1235
1785,0,1236
1786,0,1237
1787,0,1238
1788,0,1239
1789,0,1240
1790,0,1241
1791,0,1242
1792,0,1243
1793,0,1244
1794,0,1245
1795,0,1246
1796,0,1247
1797,0,1248
1798,0,1249
1799,0,1250
1800,0,1251
1801,0,1252
1802,0,1253
1803,0,1254
1804,0,1255
1805,0,1256
1806,0,1257
1807,0,1258
1808,2,33894
1809,2,33895
1810,0,1259
1811,0,1260
1812,0,1261
1813,0,1262
1814,0,1263
1815,0,1264
1816,0,1265
1817,0,1266
1818,0,1267
1819,0,1268
1820,0,1269
1821,0,1270
1822,0,1271
1823,0,1272
1824,0,1273
1825,0,1274
1826,0,1275
1827,0,1276
1828,0,1277
1829,0,1278
1830,0,1279
1831,0,1280
1832,0,1281
1833,0,1282
1834,0,1283
1835,0,1284
1836,0,1285
1837,0,1286
1838,0,1287
1839,0,1288
1840,0,1289
1841,0,1290
1842,0,1291
1843,0,1292
1844,0,1293
1845,0,1294
1846,0,1295
1847,0,1296
1848,0,1297
1849,0,1298
1850,0,1299
1851,0,1300
1852,0,1301
1853,0,1302
1854,0,1303
1855,0,1304
1856,0,1305
1857,0,1306
1858,0,1307
1859,0,1308
1860,0,1309
1861,0,1310
1862,0,1311
1863,0,1312
1864,0,1313
1865,0,1314
1866,0,1315
1867,0,1316
1868,0,1317
1869,0,1318
1870,0,1319
1871,0,1320
1872,0,1321
1873,0,1322
1874,0,1323
1875,0,1324
1876,0,1325
1877,0,1326
1878,0,1327
1879,0,1328
1880,0,1329
1881,0,1330
1882,0,1331
1883,0,1332
1884,0,1333
1885,0,1334
1886,0,1335
1887,0,1336
1888,0,1337
1889,0,1338
1890,0,1339
1891,0,1340
1892,0,1341
1893,0,1342
1894,0,1343
1895,0,1344
1896,0,1345
1897,0,1346
1898,0,1347
1899,0,1348
1900,0,1349
1901,0,1350
1902,0,1351
1903,0,1352
1904,0,1353
1905,0,1354
1906,0,1355
1907,0,1356
1908,0,1357
1909,0,1358
1910,0,1359
1911,0,1360
1912,0,1361
1913,0,1362
1914,0,1363
1915,0,1364
1916,0,1365
1917,0,1366
1918,0,1367
1919,0,1368
1920,0,1369
1921,0,1370
1922,0,1371
1923,0,1372
1924,0,1373
1925,0,1374
1926,0,1375
1927,0,1376
1928,0,1377
1929,0,1378
1930,0,1379
1931,0,1380
1932,0,1381
1933,0,1382
1934,0,1383
1935,0,1384
1936,0,1385
1937,0,1386
1938,0,1387
1939,0,1388
1940,0,1389
1941,0,1390
1942,0,1391
1943,0,1392
1944,0,1393
1945,0,1394
1946,0,1395
1947,0,1396
1948,0,1397
1949,0,1398
1950,0,1399
1951,0,1400
1952,0,1401
1953,0,1402
1954,0,1403
1955,0,1404
1956,0,1405
1957,0,1406
1958,0,1407
1959,0,1408
1960,0,1409
1961,0,1410
1962,0,1411
1963,0,1412
1964,0,1413
1965,0,1414
1966,0,1415
1967,0,1416
1968,0,1417
1969,0,1418
1970,0,1419
1971,0,1420
1972,0,1421
1973,0,1422
1974,0,1423
1975,0,1424
1976,0,1425
1977,0,1426
1978,0,1427
1979,0,1428
1980,0,1429
1981,0,1430
1982,0,1431
1983,0,1432
1984,0,1433
1985,0,1434
1986,0,1435
