N,sample_seed,shot,winner_engine,parallel_iterations,syndrome_converged,logically_correct,syndrome_valid_logical_error,selected_weight,baseline_iterations,rescued_vs_engine0,selected_correction_differs_from_engine0,full_counterfactual_engine_iterations,post_winner_iterations_avoided_by_cancellation,post_winner_waste_fraction_without_cancellation,early_stop_compute_cycles,early_stop_nonwinner_work_fraction
1,20260809,26,0,116,1,1,0,318.2584366727333,116,0,0,116,0,0.0,116,0.0
1,20260809,27,0,95,1,1,0,270.1321048618944,95,0,0,95,0,0.0,95,0.0
1,20260809,28,0,188,1,1,0,366.1333077894509,188,0,0,188,0,0.0,188,0.0
1,20260809,29,0,112,1,1,0,337.9075387194328,112,0,0,112,0,0.0,112,0.0
1,20260809,30,0,56,1,1,0,335.8874928717877,56,0,0,56,0,0.0,56,0.0
1,20260809,31,0,22,1,1,0,275.3124962264201,22,0,0,22,0,0.0,22,0.0
1,20260809,32,0,52,1,1,0,334.1424512311711,52,0,0,52,0,0.0,52,0.0
1,20260809,33,0,228,1,1,0,363.7156943478983,228,0,0,228,0,0.0,228,0.0
1,20260809,34,0,460,1,1,0,344.7447198147221,460,0,0,460,0,0.0,460,0.0
1,20260809,35,0,64,1,1,0,412.50528973540565,64,0,0,64,0,0.0,64,0.0
1,20260809,36,0,107,1,1,0,390.10989846107816,107,0,0,107,0,0.0,107,0.0
1,20260809,37,0,1274,1,1,0,389.93858857351313,1274,0,0,1274,0,0.0,1274,0.0
1,20260809,38,0,107,1,1,0,427.36437362518814,107,0,0,107,0,0.0,107,0.0
1,20260809,39,0,75,1,1,0,336.89212124604023,75,0,0,75,0,0.0,75,0.0
1,20260809,40,0,101,1,1,0,286.1034102335374,101,0,0,101,0,0.0,101,0.0
1,20260809,41,0,40,1,1,0,239.4027688953207,40,0,0,40,0,0.0,40,0.0
1,20260809,42,0,260,1,1,0,369.75094952032305,260,0,0,260,0,0.0,260,0.0
1,20260809,43,0,50,1,1,0,402.01405949414766,50,0,0,50,0,0.0,50,0.0
1,20260809,44,0,40,1,1,0,384.61057828523064,40,0,0,40,0,0.0,40,0.0
1,20260809,45,0,100,1,1,0,275.8170898883621,100,0,0,100,0,0.0,100,0.0
1,20260809,46,0,40,1,1,0,392.36621478311866,40,0,0,40,0,0.0,40,0.0
1,20260809,47,0,107,1,1,0,316.03924477451943,107,0,0,107,0,0.0,107,0.0
1,20260809,48,0,49,1,1,0,392.6752934211929,49,0,0,49,0,0.0,49,0.0
1,20260809,49,0,51,1,1,0,326.4988095837539,51,0,0,51,0,0.0,51,0.0
1,20260809,50,0,29,1,1,0,312.3957280116331,29,0,0,29,0,0.0,29,0.0
1,20260809,51,0,46,1,1,0,270.88026360459173,46,0,0,46,0,0.0,46,0.0
1,20260809,52,0,42,1,1,0,252.36892901675873,42,0,0,42,0,0.0,42,0.0
1,20260809,53,0,129,1,1,0,362.26342210287305,129,0,0,129,0,0.0,129,0.0
1,20260809,54,0,38,1,1,0,378.1257195381372,38,0,0,38,0,0.0,38,0.0
1,20260809,55,0,120,1,1,0,430.8783504422526,120,0,0,120,0,0.0,120,0.0
1,20260809,56,0,97,1,1,0,323.26461627809977,97,0,0,97,0,0.0,97,0.0
1,20260809,57,0,75,1,1,0,316.688516628645,75,0,0,75,0,0.0,75,0.0
1,20260809,58,0,46,1,1,0,344.88527933146213,46,0,0,46,0,0.0,46,0.0
1,20260809,59,0,62,1,1,0,434.81272223819707,62,0,0,62,0,0.0,62,0.0
1,20260809,60,0,110,1,1,0,303.73505443758995,110,0,0,110,0,0.0,110,0.0
1,20260809,61,0,95,1,1,0,387.93618423462743,95,0,0,95,0,0.0,95,0.0
1,20260809,62,0,70,1,1,0,365.1642157454962,70,0,0,70,0,0.0,70,0.0
1,20260809,63,0,44,1,1,0,428.8281907903941,44,0,0,44,0,0.0,44,0.0
1,20260809,64,0,19,1,1,0,278.7770616951118,19,0,0,19,0,0.0,19,0.0
