sample_seed,shot,engine,decoder_seed,iterations,relay_legs,syndrome_converged,logically_correct,syndrome_valid_logical_error,selected_weight
20260809,35,1,1009138,64,1,1,1,0,412.50528973540565
20260809,35,2,2009141,64,1,1,1,0,412.50528973540565
20260809,35,3,3009144,64,1,1,1,0,412.50528973540565
20260809,36,0,9136,107,2,1,1,0,390.10989846107816
20260809,36,1,1009139,158,3,1,1,0,442.75726773841654
20260809,36,2,2009142,107,2,1,1,0,393.37008739348016
20260809,36,3,3009145,126,2,1,1,0,414.5859625043285
20260809,37,0,9137,1274,21,1,1,0,389.93858857351313
20260809,37,1,1009140,1940,32,0,0,0,
20260809,37,2,2009143,299,5,1,1,0,358.69156734722276
20260809,37,3,3009146,1940,32,0,0,0,
20260809,38,0,9138,107,2,1,1,0,427.36437362518814
20260809,38,1,1009141,345,6,1,1,0,410.0930675616956
20260809,38,2,2009144,102,2,1,1,0,395.9670662091345
20260809,38,3,3009147,130,2,1,1,0,415.19806546485955
20260809,39,0,9139,75,1,1,1,0,336.89212124604023
20260809,39,1,1009142,75,1,1,1,0,336.89212124604023
20260809,39,2,2009145,75,1,1,1,0,336.89212124604023
20260809,39,3,3009148,75,1,1,1,0,336.89212124604023
20260809,40,0,9140,101,2,1,1,0,286.1034102335374
20260809,40,1,1009143,114,2,1,1,0,309.1151884658284
20260809,40,2,2009146,124,2,1,1,0,335.10087261867193
20260809,40,3,3009149,112,2,1,1,0,295.75884671499955
20260809,41,0,9141,40,1,1,1,0,239.4027688953207
20260809,41,1,1009144,40,1,1,1,0,239.4027688953207
20260809,41,2,2009147,40,1,1,1,0,239.4027688953207
20260809,41,3,3009150,40,1,1,1,0,239.4027688953207
20260809,42,0,9142,260,4,1,1,0,369.75094952032305
20260809,42,1,1009145,121,2,1,1,0,338.76078194471313
20260809,42,2,2009148,110,2,1,1,0,333.5397520492287
20260809,42,3,3009151,256,4,1,1,0,331.21356973686983
20260809,43,0,9143,50,1,1,1,0,402.01405949414766
