sample_seed,shot,engine,decoder_seed,iterations,relay_legs,syndrome_converged,logically_correct,syndrome_valid_logical_error,selected_weight
20260809,102,0,9202,98,2,1,1,0,236.95282842909873
20260809,102,1,1009205,90,2,1,1,0,231.78734774473114
20260809,102,2,2009208,94,2,1,1,0,230.96983702531816
20260809,102,3,3009211,101,2,1,1,0,238.7922809522406
20260809,103,0,9203,115,2,1,1,0,408.87567374043533
20260809,103,1,1009206,162,3,1,1,0,404.84081084954494
20260809,103,2,2009209,282,5,1,1,0,444.6243627163221
20260809,103,3,3009212,114,2,1,1,0,402.81169848267575
20260809,104,0,9204,46,1,1,1,0,279.1098242470955
20260809,104,1,1009207,46,1,1,1,0,279.1098242470955
20260809,104,2,2009210,46,1,1,1,0,279.1098242470955
20260809,104,3,3009213,46,1,1,1,0,279.1098242470955
20260809,105,0,9205,77,1,1,1,0,379.49944335620603
20260809,105,1,1009208,77,1,1,1,0,379.49944335620603
20260809,105,2,2009211,77,1,1,1,0,379.49944335620603
20260809,105,3,3009214,77,1,1,1,0,379.49944335620603
20260809,106,0,9206,37,1,1,1,0,297.62888873369275
20260809,106,1,1009209,37,1,1,1,0,297.62888873369275
20260809,106,2,2009212,37,1,1,1,0,297.62888873369275
20260809,106,3,3009215,37,1,1,1,0,297.62888873369275
20260809,107,0,9207,130,2,1,1,0,318.29842720297626
20260809,107,1,1009210,301,5,1,1,0,366.7671600136166
20260809,107,2,2009213,163,3,1,1,0,319.3947369913252
20260809,107,3,3009216,120,2,1,1,0,314.084386828013
20260809,108,0,9208,291,5,1,1,0,387.9261870128643
20260809,108,1,1009211,791,13,1,1,0,408.51736602181694
20260809,108,2,2009214,135,2,1,1,0,370.0873210948044
20260809,108,3,3009217,123,2,1,1,0,356.2415342049418
20260809,109,0,9209,35,1,1,1,0,376.2589780051825
20260809,109,1,1009212,35,1,1,1,0,376.2589780051825
20260809,109,2,2009215,35,1,1,1,0,376.2589780051825
20260809,109,3,3009218,35,1,1,1,0,376.2589780051825
20260809,110,0,9210,177,3,1,1,0,471.3022782485611
20260809,110,1,1009213,551,9,1,1,0,461.78942673508124
20260809,110,2,2009216,103,2,1,1,0,467.84757195282816
20260809,110,3,3009219,132,2,1,1,0,455.7930863696586
20260809,111,0,9211,74,1,1,1,0,388.37976696980843
20260809,111,1,1009214,74,1,1,1,0,388.37976696980843
20260809,111,2,2009217,74,1,1,1,0,388.37976696980843
20260809,111,3,3009220,74,1,1,1,0,388.37976696980843
20260809,112,0,9212,26,1,1,1,0,329.4982912348448
20260809,112,1,1009215,26,1,1,1,0,329.4982912348448
20260809,112,2,2009218,26,1,1,1,0,329.4982912348448
20260809,112,3,3009221,26,1,1,1,0,329.4982912348448
20260809,113,0,9213,114,2,1,1,0,298.5917124371066
20260809,113,1,1009216,98,2,1,1,0,291.3468267393696
